Date,CallWall,PutWall
2026-06-26,16.0,13.5
2026-06-29,16.0,13.0
2026-06-30,16.0,13.5
2026-07-01,14.0,13.5
2026-07-02,17.0,13.0
2026-07-06,16.0,13.0
2026-07-07,17.0,13.0
2026-07-08,17.0,13.0
2026-07-09,16.0,13.0
2026-07-10,14.0,13.0
2026-07-13,15.0,13.0
2026-07-14,15.0,13.0
2026-07-15,14.5,13.0
2026-07-16,15.0,13.0
2026-07-17,14.5,14.0
2026-07-20,15.0,13.0
2026-07-21,15.0,13.0
2026-07-22,15.0,13.0
2026-07-23,15.0,13.0
2026-07-24,14.5,13.0
2026-07-27,15.0,13.0
2026-07-28,15.0,13.0
2026-07-29,15.0,13.0
2026-07-30,15.0,13.0
2026-07-31,15.0,13.0
2026-08-03,15.0,13.0
2026-08-04,15.0,13.0
2026-08-05,15.0,13.0
2026-08-06,15.0,13.0
2026-08-07,14.5,13.0
2026-08-10,14.0,13.0
2026-08-11,14.5,13.0
2026-08-12,14.0,13.0
2026-08-13,14.0,13.0
2026-08-14,14.5,13.0
2026-08-17,15.0,13.0
2026-08-18,15.0,13.0
2026-08-19,15.0,13.0
2026-08-20,15.0,13.0
2026-08-21,14.5,14.0
2026-08-24,15.0,13.0
2026-08-25,15.0,13.0
2026-08-26,15.0,13.0
2026-08-27,15.0,13.0
2026-08-28,14.0,13.0
2026-08-31,15.0,13.0
2026-09-01,15.0,13.0
2026-09-02,14.0,13.0
2026-09-03,14.5,13.0
2026-09-04,15.0,14.0
2026-09-07,15.0,14.0
2026-09-08,15.0,14.0
2026-09-09,15.0,13.5
2026-09-10,15.0,13.5
2026-09-11,15.0,13.5
2026-09-14,15.0,14.0
2026-09-15,15.0,13.0
2026-09-16,15.0,13.0
2026-09-17,15.0,13.0
2026-09-18,14.0,13.0
2026-09-21,15.0,13.0
2026-09-22,13.5,13.0
2026-09-23,13.5,13.0
2026-09-24,13.5,12.5
