Date,CallWall,PutWall
2026-06-26,190.0,165.0
2026-06-29,190.0,170.0
2026-06-30,190.0,170.0
2026-07-01,190.0,170.0
2026-07-02,190.0,170.0
2026-07-06,190.0,170.0
2026-07-07,190.0,170.0
2026-07-08,190.0,175.0
2026-07-09,190.0,170.0
2026-07-10,190.0,170.0
2026-07-13,190.0,180.0
2026-07-14,190.0,180.0
2026-07-15,190.0,180.0
2026-07-16,190.0,165.0
2026-07-17,195.0,180.0
2026-07-20,200.0,160.0
2026-07-21,200.0,185.0
2026-07-22,200.0,185.0
2026-07-23,200.0,185.0
2026-07-24,200.0,185.0
2026-07-27,200.0,190.0
2026-07-28,200.0,190.0
2026-07-29,200.0,180.0
2026-07-30,200.0,180.0
2026-07-31,220.0,180.0
2026-08-03,200.0,180.0
2026-08-04,200.0,180.0
2026-08-05,200.0,180.0
2026-08-06,200.0,180.0
2026-08-07,200.0,180.0
2026-08-10,200.0,175.0
2026-08-11,200.0,175.0
2026-08-12,200.0,190.0
2026-08-13,200.0,190.0
2026-08-14,200.0,180.0
2026-08-17,200.0,180.0
2026-08-18,220.0,180.0
2026-08-19,220.0,180.0
2026-08-20,220.0,180.0
2026-08-21,220.0,180.0
2026-08-24,200.0,180.0
2026-08-25,210.0,180.0
2026-08-26,200.0,180.0
2026-08-27,200.0,180.0
2026-08-28,200.0,180.0
2026-08-31,200.0,180.0
2026-09-01,210.0,180.0
2026-09-02,210.0,180.0
2026-09-03,200.0,180.0
2026-09-04,200.0,180.0
2026-09-07,200.0,180.0
2026-09-08,210.0,180.0
2026-09-09,210.0,180.0
2026-09-10,210.0,190.0
2026-09-11,210.0,180.0
2026-09-14,210.0,180.0
2026-09-15,210.0,180.0
2026-09-16,210.0,190.0
2026-09-17,200.0,190.0
2026-09-18,195.0,190.0
2026-09-21,195.0,180.0
2026-09-22,195.0,180.0
2026-09-23,195.0,180.0
2026-09-24,195.0,180.0
