Date,CallWall,PutWall
2026-06-26,70.0,60.0
2026-06-29,70.0,60.0
2026-06-30,70.0,60.0
2026-07-01,70.0,60.0
2026-07-02,70.0,60.0
2026-07-06,70.0,60.0
2026-07-07,70.0,60.0
2026-07-08,70.0,55.0
2026-07-09,70.0,60.0
2026-07-10,70.0,55.0
2026-07-13,70.0,60.0
2026-07-14,70.0,60.0
2026-07-15,65.0,60.0
2026-07-16,70.0,55.0
2026-07-17,70.0,58.0
2026-07-20,70.0,55.0
2026-07-21,70.0,55.0
2026-07-22,70.0,55.0
2026-07-23,65.0,60.0
2026-07-24,62.0,60.0
2026-07-27,70.0,55.0
2026-07-28,70.0,55.0
2026-07-29,70.0,55.0
2026-07-30,66.0,55.0
2026-07-31,63.0,55.0
2026-08-03,70.0,55.0
2026-08-04,70.0,60.0
2026-08-05,70.0,60.0
2026-08-06,70.0,60.0
2026-08-07,70.0,69.0
2026-08-10,70.0,68.0
2026-08-11,70.0,68.0
2026-08-12,70.0,68.0
2026-08-13,70.0,68.0
2026-08-14,70.0,60.0
2026-08-17,70.0,68.0
2026-08-18,70.0,68.0
2026-08-19,70.0,68.0
2026-08-20,70.0,68.0
2026-08-21,80.0,60.0
2026-08-24,80.0,60.0
2026-08-25,80.0,60.0
2026-08-26,80.0,77.0
2026-08-27,80.0,77.0
2026-08-28,80.0,77.0
2026-08-31,80.0,76.0
2026-09-01,80.0,76.0
2026-09-02,80.0,76.0
2026-09-03,80.0,72.0
2026-09-04,80.0,76.0
2026-09-07,80.0,76.0
2026-09-08,80.0,76.0
2026-09-09,80.0,76.0
2026-09-10,75.0,74.0
2026-09-11,75.0,65.0
2026-09-14,75.0,65.0
2026-09-15,75.0,65.0
2026-09-16,75.0,65.0
2026-09-17,75.0,65.0
2026-09-18,70.0,65.0
2026-09-21,75.0,65.0
2026-09-22,75.0,65.0
2026-09-23,75.0,65.0
2026-09-24,75.0,65.0
