Date,CallWall,PutWall
2026-06-26,325.0,320.0
2026-06-29,332.5,320.0
2026-06-30,345.0,300.0
2026-07-01,332.5,300.0
2026-07-02,315.0,310.0
2026-07-06,317.5,300.0
2026-07-07,317.5,300.0
2026-07-08,330.0,300.0
2026-07-09,317.5,300.0
2026-07-10,315.0,300.0
2026-07-13,335.0,300.0
2026-07-14,335.0,300.0
2026-07-15,330.0,300.0
2026-07-16,335.0,300.0
2026-07-17,312.5,300.0
2026-07-20,330.0,310.0
2026-07-21,320.0,310.0
2026-07-22,320.0,310.0
2026-07-23,320.0,310.0
2026-07-24,320.0,315.0
2026-07-27,330.0,305.0
2026-07-28,320.0,315.0
2026-07-29,320.0,305.0
2026-07-30,320.0,305.0
2026-07-31,320.0,305.0
2026-08-03,320.0,307.5
2026-08-04,320.0,307.5
2026-08-05,320.0,307.5
2026-08-06,320.0,307.5
2026-08-07,320.0,310.0
2026-08-10,320.0,310.0
2026-08-11,320.0,310.0
2026-08-12,330.0,310.0
2026-08-13,335.0,310.0
2026-08-14,330.0,300.0
2026-08-17,330.0,300.0
2026-08-18,330.0,322.5
2026-08-19,330.0,322.5
2026-08-20,330.0,322.5
2026-08-21,330.0,322.5
2026-08-24,330.0,300.0
2026-08-25,330.0,320.0
2026-08-26,330.0,320.0
2026-08-27,330.0,320.0
2026-08-28,330.0,320.0
2026-08-31,330.0,320.0
2026-09-01,330.0,320.0
2026-09-02,340.0,320.0
2026-09-03,340.0,320.0
2026-09-04,340.0,320.0
2026-09-07,340.0,320.0
2026-09-08,340.0,320.0
2026-09-09,340.0,300.0
2026-09-10,340.0,310.0
2026-09-11,340.0,310.0
2026-09-14,340.0,310.0
2026-09-15,330.0,310.0
2026-09-16,340.0,300.0
2026-09-17,340.0,305.0
2026-09-18,315.0,300.0
2026-09-21,350.0,290.0
2026-09-22,305.0,290.0
2026-09-23,320.0,290.0
2026-09-24,315.0,280.0
