Date,CallWall,PutWall
2026-06-26,47.0,42.0
2026-06-29,47.0,42.0
2026-06-30,47.0,42.0
2026-07-01,47.0,45.0
2026-07-02,48.0,46.0
2026-07-06,48.0,46.0
2026-07-07,48.0,42.0
2026-07-08,48.0,42.0
2026-07-09,48.0,42.0
2026-07-10,47.0,44.0
2026-07-13,47.0,44.0
2026-07-14,48.0,47.0
2026-07-15,47.0,42.0
2026-07-16,47.0,46.0
2026-07-17,47.0,48.0
2026-07-20,50.0,47.0
2026-07-21,49.0,47.0
2026-07-22,49.0,47.0
2026-07-23,49.0,47.0
2026-07-24,49.0,47.0
2026-07-27,49.0,47.0
2026-07-28,50.0,47.0
2026-07-29,50.0,47.0
2026-07-30,50.0,47.0
2026-07-31,49.0,47.0
2026-08-03,49.0,47.0
2026-08-04,49.0,47.0
2026-08-05,49.0,47.0
2026-08-06,49.0,47.0
2026-08-07,49.0,47.0
2026-08-10,49.0,47.0
2026-08-11,46.0,47.0
2026-08-12,46.0,47.0
2026-08-13,49.0,47.0
2026-08-14,50.0,33.0
2026-08-17,50.0,33.0
2026-08-18,50.0,33.0
2026-08-19,50.0,33.0
2026-08-20,50.0,33.0
2026-08-21,47.0,33.0
2026-08-24,47.0,33.0
2026-08-25,47.0,33.0
2026-08-26,47.0,33.0
2026-08-27,47.0,33.0
2026-08-28,47.0,33.0
2026-08-31,47.0,33.0
2026-09-01,47.0,45.0
2026-09-02,47.0,45.0
2026-09-03,47.0,33.0
2026-09-04,47.0,33.0
2026-09-07,47.0,45.0
2026-09-08,47.0,33.0
2026-09-09,47.0,33.0
2026-09-10,47.0,33.0
2026-09-11,47.0,45.0
2026-09-14,47.0,45.0
2026-09-15,47.0,45.0
2026-09-16,47.0,45.0
2026-09-17,47.0,33.0
2026-09-18,47.0,45.0
2026-09-21,50.0,45.0
2026-09-22,46.0,45.0
2026-09-23,46.0,43.0
2026-09-24,46.0,43.0
