Date,CallWall,PutWall
2026-06-26,150.0,133.0
2026-06-29,157.5,148.0
2026-06-30,157.5,148.0
2026-07-01,157.5,148.0
2026-07-02,157.5,148.0
2026-07-06,165.0,152.5
2026-07-07,165.0,152.5
2026-07-08,165.0,152.5
2026-07-09,165.0,146.0
2026-07-10,160.0,146.0
2026-07-13,165.0,145.0
2026-07-14,165.0,145.0
2026-07-15,165.0,145.0
2026-07-16,165.0,145.0
2026-07-17,165.0,160.0
2026-07-20,170.0,150.0
2026-07-21,170.0,150.0
2026-07-22,165.0,150.0
2026-07-23,160.0,150.0
2026-07-24,152.5,150.0
2026-07-27,160.0,140.0
2026-07-28,160.0,140.0
2026-07-29,152.5,140.0
2026-07-30,152.5,140.0
2026-07-31,160.0,140.0
2026-08-03,160.0,145.0
2026-08-04,170.0,145.0
2026-08-05,170.0,145.0
2026-08-06,160.0,145.0
2026-08-07,160.0,145.0
2026-08-10,170.0,145.0
2026-08-11,170.0,145.0
2026-08-12,160.0,145.0
2026-08-13,165.0,155.0
2026-08-14,165.0,155.0
2026-08-17,170.0,155.0
2026-08-18,165.0,155.0
2026-08-19,165.0,155.0
2026-08-20,165.0,145.0
2026-08-21,165.0,155.0
2026-08-24,165.0,155.0
2026-08-25,160.0,155.0
2026-08-26,160.0,155.0
2026-08-27,175.0,155.0
2026-08-28,165.0,155.0
2026-08-31,175.0,155.0
2026-09-01,170.0,155.0
2026-09-02,165.0,155.0
2026-09-03,165.0,155.0
2026-09-04,165.0,155.0
2026-09-08,165.0,155.0
2026-09-09,160.0,155.0
2026-09-10,160.0,155.0
2026-09-11,160.0,155.0
2026-09-14,170.0,155.0
2026-09-15,170.0,155.0
2026-09-16,170.0,155.0
2026-09-17,170.0,155.0
2026-09-18,170.0,155.0
2026-09-21,180.0,155.0
2026-09-22,177.5,165.0
2026-09-23,177.5,165.0
2026-09-24,180.0,165.0
