Date,CallWall,PutWall
2026-06-26,376.0,360.0
2026-06-29,376.0,360.0
2026-06-30,370.0,360.0
2026-07-01,373.0,360.0
2026-07-02,376.0,360.0
2026-07-06,382.0,360.0
2026-07-07,390.0,360.0
2026-07-08,383.0,360.0
2026-07-09,383.0,360.0
2026-07-10,400.0,360.0
2026-07-13,381.0,360.0
2026-07-14,380.0,360.0
2026-07-15,380.0,370.0
2026-07-16,380.0,360.0
2026-07-17,368.0,370.0
2026-07-20,368.0,360.0
2026-07-21,380.0,360.0
2026-07-22,380.0,370.0
2026-07-23,380.0,370.0
2026-07-24,372.0,370.0
2026-07-27,385.0,370.0
2026-07-28,376.0,370.0
2026-07-29,375.0,370.0
2026-07-30,380.0,370.0
2026-07-31,373.0,370.0
2026-08-03,380.0,370.0
2026-08-04,380.0,360.0
2026-08-05,390.0,370.0
2026-08-06,400.0,370.0
2026-08-07,400.0,370.0
2026-08-10,400.0,360.0
2026-08-11,400.0,375.0
2026-08-12,405.0,360.0
2026-08-13,400.0,398.0
2026-08-14,420.0,370.0
2026-08-17,420.0,370.0
2026-08-18,420.0,370.0
2026-08-19,420.0,370.0
2026-08-20,420.0,350.0
2026-08-21,425.0,370.0
2026-08-24,425.0,411.0
2026-08-25,430.0,422.0
2026-08-26,430.0,422.0
2026-08-27,430.0,414.0
2026-08-28,430.0,408.0
2026-08-31,430.0,406.0
2026-09-01,430.0,396.0
2026-09-02,430.0,404.0
2026-09-03,430.0,404.0
2026-09-04,415.0,395.0
2026-09-08,415.0,402.0
2026-09-09,415.0,390.0
2026-09-10,415.0,393.0
2026-09-11,415.0,400.0
2026-09-14,415.0,395.0
2026-09-15,415.0,390.0
2026-09-16,415.0,390.0
2026-09-17,400.0,390.0
2026-09-18,400.0,402.0
2026-09-21,405.0,390.0
2026-09-22,405.0,390.0
2026-09-23,405.0,390.0
2026-09-24,405.0,390.0
