Date,CallWall,PutWall
2026-06-26,85.0,78.0
2026-06-29,85.0,80.0
2026-06-30,85.0,77.0
2026-07-01,85.0,75.0
2026-07-02,85.0,75.0
2026-07-06,85.0,75.0
2026-07-07,85.0,75.0
2026-07-08,85.0,75.0
2026-07-09,78.0,75.0
2026-07-10,78.0,75.0
2026-07-13,80.0,75.0
2026-07-14,80.0,75.0
2026-07-15,80.0,75.0
2026-07-16,80.0,75.0
2026-07-17,80.0,75.0
2026-07-20,80.0,74.0
2026-07-21,80.0,74.0
2026-07-22,80.0,74.0
2026-07-23,80.0,74.0
2026-07-24,82.0,80.0
2026-07-27,85.0,78.0
2026-07-28,85.0,78.0
2026-07-29,85.0,74.0
2026-07-30,85.0,74.0
2026-07-31,88.0,74.0
2026-08-03,85.0,86.0
2026-08-04,85.0,86.0
2026-08-05,85.0,86.0
2026-08-06,85.0,86.0
2026-08-07,85.0,88.0
2026-08-10,85.0,88.0
2026-08-11,90.0,88.0
2026-08-12,89.0,88.0
2026-08-13,87.5,86.0
2026-08-14,90.0,87.0
2026-08-17,90.0,84.0
2026-08-18,90.0,84.0
2026-08-19,90.0,84.0
2026-08-20,90.0,84.0
2026-08-21,87.5,87.0
2026-08-24,90.0,75.0
2026-08-25,90.0,82.0
2026-08-26,90.0,84.0
2026-08-27,90.0,84.0
2026-08-28,90.0,85.0
2026-08-31,90.0,84.0
2026-09-01,90.0,84.0
2026-09-02,90.0,84.0
2026-09-03,89.0,82.5
2026-09-04,90.0,82.0
2026-09-07,90.0,80.0
2026-09-08,90.0,82.5
2026-09-09,90.0,82.0
2026-09-10,90.0,84.0
2026-09-11,90.0,83.0
2026-09-14,90.0,83.0
2026-09-15,90.0,83.0
2026-09-16,90.0,83.0
2026-09-17,90.0,83.0
2026-09-18,85.0,82.0
2026-09-21,86.0,83.0
2026-09-22,86.0,83.0
2026-09-23,86.0,83.0
2026-09-24,86.0,82.0
