Date,CallWall,PutWall
2026-06-26,350.0,340.0
2026-06-29,355.0,340.0
2026-06-30,360.0,340.0
2026-07-01,360.0,340.0
2026-07-02,360.0,340.0
2026-07-06,370.0,340.0
2026-07-07,370.0,340.0
2026-07-08,370.0,360.0
2026-07-09,365.0,355.0
2026-07-10,415.0,352.5
2026-07-13,415.0,340.0
2026-07-14,370.0,340.0
2026-07-15,370.0,320.0
2026-07-16,370.0,340.0
2026-07-17,400.0,345.0
2026-07-20,370.0,320.0
2026-07-21,370.0,320.0
2026-07-22,370.0,320.0
2026-07-23,370.0,320.0
2026-07-24,335.0,317.5
2026-07-27,327.5,310.0
2026-07-28,335.0,310.0
2026-07-29,340.0,310.0
2026-07-30,335.0,325.0
2026-07-31,350.0,330.0
2026-08-03,380.0,320.0
2026-08-04,380.0,320.0
2026-08-05,380.0,330.0
2026-08-06,370.0,320.0
2026-08-07,370.0,340.0
2026-08-10,357.5,340.0
2026-08-11,370.0,340.0
2026-08-12,357.5,340.0
2026-08-13,350.0,340.0
2026-08-14,350.0,340.0
2026-08-17,350.0,340.0
2026-08-18,350.0,340.0
2026-08-19,345.0,340.0
2026-08-20,350.0,340.0
2026-08-21,345.0,340.0
2026-08-24,347.5,330.0
2026-08-25,350.0,337.5
2026-08-26,350.0,337.5
2026-08-27,350.0,337.5
2026-08-28,347.5,330.0
2026-08-31,350.0,337.5
2026-09-01,350.0,330.0
2026-09-02,340.0,335.0
2026-09-03,340.0,330.0
2026-09-04,340.0,337.5
2026-09-08,350.0,330.0
2026-09-09,350.0,330.0
2026-09-10,332.5,320.0
2026-09-11,340.0,330.0
2026-09-14,350.0,330.0
2026-09-15,350.0,330.0
2026-09-16,350.0,340.0
2026-09-17,350.0,330.0
2026-09-18,350.0,340.0
2026-09-21,355.0,340.0
2026-09-22,375.0,345.0
2026-09-23,375.0,340.0
2026-09-24,375.0,330.0
