Date,CallWall,PutWall
2026-06-26,34.5,33.0
2026-06-29,35.5,33.0
2026-06-30,35.5,33.0
2026-07-01,35.5,34.0
2026-07-02,35.5,32.0
2026-07-06,36.5,33.0
2026-07-07,36.5,33.0
2026-07-08,35.5,33.0
2026-07-09,35.0,34.5
2026-07-10,35.0,34.5
2026-07-13,35.5,33.0
2026-07-14,35.5,33.0
2026-07-15,35.5,33.0
2026-07-16,35.5,34.0
2026-07-17,35.5,32.0
2026-07-20,37.0,32.0
2026-07-21,37.0,34.0
2026-07-22,33.0,32.0
2026-07-23,33.0,32.0
2026-07-24,33.0,33.5
2026-07-27,35.0,31.0
2026-07-28,34.5,31.0
2026-07-29,33.0,31.0
2026-07-30,33.0,31.0
2026-07-31,32.5,32.0
2026-08-03,32.5,32.0
2026-08-04,32.5,32.0
2026-08-05,32.5,32.0
2026-08-06,32.5,32.0
2026-08-07,32.5,32.0
2026-08-10,34.0,32.0
2026-08-11,34.0,32.0
2026-08-12,34.0,32.0
2026-08-13,34.0,32.0
2026-08-14,35.0,32.0
2026-08-17,35.0,32.0
2026-08-18,35.0,32.0
2026-08-19,35.0,32.0
2026-08-20,35.0,34.5
2026-08-21,35.0,34.5
2026-08-24,35.0,32.0
2026-08-25,35.0,34.0
2026-08-26,35.0,34.0
2026-08-27,36.0,34.0
2026-08-28,35.0,34.0
2026-08-31,35.0,34.0
2026-09-01,35.0,34.0
2026-09-02,35.0,34.0
2026-09-03,35.0,34.0
2026-09-04,35.0,36.5
2026-09-07,35.0,34.0
2026-09-08,35.0,34.0
2026-09-09,35.0,34.0
2026-09-10,35.0,34.0
2026-09-11,35.0,33.0
2026-09-14,35.0,34.0
2026-09-15,35.0,34.0
2026-09-16,35.0,34.0
2026-09-17,35.0,34.0
2026-09-18,35.0,33.0
2026-09-21,40.0,33.0
2026-09-22,40.0,33.0
2026-09-23,40.0,33.0
2026-09-24,40.0,33.0
