Date,CallWall,PutWall
2026-06-26,350.0,345.0
2026-06-29,355.0,330.0
2026-06-30,355.0,342.5
2026-07-01,355.0,342.5
2026-07-02,355.0,352.5
2026-07-06,355.0,347.5
2026-07-07,355.0,347.5
2026-07-08,350.0,342.5
2026-07-09,350.0,335.0
2026-07-10,355.0,342.5
2026-07-13,355.0,330.0
2026-07-14,350.0,335.0
2026-07-15,350.0,342.5
2026-07-16,350.0,342.5
2026-07-17,340.0,315.0
2026-07-20,360.0,315.0
2026-07-21,360.0,315.0
2026-07-22,360.0,320.0
2026-07-23,360.0,320.0
2026-07-24,332.5,330.0
2026-07-27,360.0,330.0
2026-07-28,370.0,325.0
2026-07-29,370.0,340.0
2026-07-30,370.0,330.0
2026-07-31,370.0,332.5
2026-08-03,360.0,325.0
2026-08-04,360.0,325.0
2026-08-05,360.0,340.0
2026-08-06,350.0,340.0
2026-08-07,355.0,340.0
2026-08-10,355.0,340.0
2026-08-11,355.0,335.0
2026-08-12,355.0,340.0
2026-08-13,350.0,340.0
2026-08-14,360.0,337.5
2026-08-17,350.0,330.0
2026-08-18,350.0,330.0
2026-08-19,350.0,330.0
2026-08-20,350.0,335.0
2026-08-21,350.0,335.0
2026-08-24,350.0,330.0
2026-08-25,350.0,330.0
2026-08-26,350.0,330.0
2026-08-27,350.0,330.0
2026-08-28,340.0,330.0
2026-08-31,350.0,320.0
2026-09-01,340.0,315.0
2026-09-02,340.0,315.0
2026-09-03,350.0,315.0
2026-09-04,325.0,320.0
2026-09-07,350.0,315.0
2026-09-08,340.0,315.0
2026-09-09,330.0,315.0
2026-09-10,330.0,295.0
2026-09-11,310.0,305.0
2026-09-14,350.0,315.0
2026-09-15,340.0,305.0
2026-09-16,330.0,305.0
2026-09-17,310.0,305.0
2026-09-18,335.0,300.0
2026-09-21,330.0,295.0
2026-09-22,310.0,295.0
2026-09-23,310.0,295.0
2026-09-24,320.0,295.0
