Date,CallWall,PutWall
2026-06-26,177.5,175.0
2026-06-29,200.0,175.0
2026-06-30,200.0,175.0
2026-07-01,185.0,180.0
2026-07-02,185.0,180.0
2026-07-06,180.0,170.0
2026-07-07,180.0,170.0
2026-07-08,180.0,170.0
2026-07-09,180.0,170.0
2026-07-10,180.0,170.0
2026-07-13,185.0,170.0
2026-07-14,180.0,170.0
2026-07-15,180.0,170.0
2026-07-16,180.0,170.0
2026-07-17,180.0,170.0
2026-07-20,180.0,170.0
2026-07-21,180.0,170.0
2026-07-22,180.0,170.0
2026-07-23,180.0,170.0
2026-07-24,180.0,170.0
2026-07-27,180.0,160.0
2026-07-28,180.0,160.0
2026-07-29,190.0,160.0
2026-07-30,190.0,177.5
2026-07-31,177.5,175.0
2026-08-03,180.0,160.0
2026-08-04,180.0,172.5
2026-08-05,180.0,160.0
2026-08-06,180.0,172.5
2026-08-07,182.5,172.5
2026-08-10,180.0,172.5
2026-08-11,180.0,172.5
2026-08-12,185.0,175.0
2026-08-13,185.0,172.5
2026-08-14,190.0,180.0
2026-08-17,185.0,180.0
2026-08-18,185.0,180.0
2026-08-19,190.0,180.0
2026-08-20,190.0,180.0
2026-08-21,190.0,180.0
2026-08-24,195.0,180.0
2026-08-25,185.0,180.0
2026-08-26,185.0,180.0
2026-08-27,185.0,180.0
2026-08-28,185.0,180.0
2026-08-31,185.0,180.0
2026-09-01,185.0,180.0
2026-09-02,185.0,180.0
2026-09-03,185.0,180.0
2026-09-04,185.0,180.0
2026-09-07,185.0,180.0
2026-09-08,185.0,180.0
2026-09-09,185.0,170.0
2026-09-10,185.0,180.0
2026-09-11,185.0,172.5
2026-09-14,190.0,180.0
2026-09-15,185.0,170.0
2026-09-16,180.0,170.0
2026-09-17,180.0,170.0
2026-09-18,185.0,170.0
2026-09-21,177.5,165.0
2026-09-22,177.5,165.0
2026-09-23,177.5,165.0
2026-09-24,177.5,165.0
