Date,CallWall,PutWall
2026-06-26,380.0,365.0
2026-06-29,380.0,365.0
2026-06-30,400.0,365.0
2026-07-01,400.0,365.0
2026-07-02,400.0,395.0
2026-07-06,400.0,350.0
2026-07-07,390.0,380.0
2026-07-08,390.0,380.0
2026-07-09,400.0,380.0
2026-07-10,400.0,380.0
2026-07-13,400.0,365.0
2026-07-14,400.0,365.0
2026-07-15,440.0,370.0
2026-07-16,400.0,390.0
2026-07-17,400.0,380.0
2026-07-20,400.0,355.0
2026-07-21,400.0,355.0
2026-07-22,400.0,380.0
2026-07-23,400.0,380.0
2026-07-24,400.0,380.0
2026-07-27,420.0,355.0
2026-07-28,420.0,355.0
2026-07-29,430.0,370.0
2026-07-30,430.0,370.0
2026-07-31,430.0,370.0
2026-08-03,375.0,355.0
2026-08-04,375.0,355.0
2026-08-05,375.0,355.0
2026-08-06,362.5,355.0
2026-08-07,385.0,355.0
2026-08-10,375.0,370.0
2026-08-11,375.0,370.0
2026-08-12,375.0,370.0
2026-08-13,375.0,370.0
2026-08-14,400.0,370.0
2026-08-17,400.0,370.0
2026-08-18,400.0,370.0
2026-08-19,400.0,370.0
2026-08-20,400.0,380.0
2026-08-21,400.0,380.0
2026-08-24,400.0,380.0
2026-08-25,400.0,380.0
2026-08-26,400.0,380.0
2026-08-27,400.0,380.0
2026-08-28,400.0,380.0
2026-08-31,400.0,380.0
2026-09-01,400.0,380.0
2026-09-02,400.0,380.0
2026-09-03,400.0,380.0
2026-09-04,400.0,380.0
2026-09-07,400.0,380.0
2026-09-08,400.0,380.0
2026-09-09,400.0,380.0
2026-09-10,400.0,380.0
2026-09-11,400.0,380.0
2026-09-14,400.0,380.0
2026-09-15,400.0,380.0
2026-09-16,400.0,375.0
2026-09-17,400.0,380.0
2026-09-18,400.0,380.0
2026-09-21,400.0,375.0
2026-09-22,400.0,375.0
2026-09-23,400.0,375.0
2026-09-24,400.0,375.0
