Date,CallWall,PutWall
2026-06-26,34.5,34.0
2026-06-29,35.0,33.0
2026-06-30,35.0,33.0
2026-07-01,35.0,33.0
2026-07-02,35.0,33.0
2026-07-06,36.0,34.0
2026-07-07,36.0,34.0
2026-07-08,36.0,34.0
2026-07-09,36.0,34.0
2026-07-10,36.0,34.0
2026-07-13,37.0,34.0
2026-07-14,37.0,34.0
2026-07-15,37.0,34.0
2026-07-16,37.0,34.0
2026-07-17,37.0,36.0
2026-07-20,37.0,35.5
2026-07-21,38.0,35.5
2026-07-22,38.0,35.5
2026-07-23,38.0,36.0
2026-07-24,38.0,36.0
2026-07-27,38.0,35.0
2026-07-28,38.0,35.0
2026-07-29,38.0,35.0
2026-07-30,37.0,36.0
2026-07-31,37.0,36.0
2026-08-03,37.0,34.5
2026-08-04,37.0,34.5
2026-08-05,37.0,35.5
2026-08-06,37.0,35.5
2026-08-07,37.0,35.5
2026-08-10,38.0,35.5
2026-08-11,37.0,35.5
2026-08-12,37.0,35.5
2026-08-13,37.0,35.5
2026-08-14,37.0,35.5
2026-08-17,37.0,35.0
2026-08-18,37.0,35.0
2026-08-19,40.0,35.0
2026-08-20,40.0,35.0
2026-08-21,43.0,34.0
2026-08-24,45.0,34.0
2026-08-25,45.0,43.5
2026-08-26,45.0,44.5
2026-08-27,45.0,44.5
2026-08-28,44.0,43.5
2026-08-31,46.0,43.5
2026-09-01,45.0,43.5
2026-09-02,45.0,43.5
2026-09-03,45.0,42.5
2026-09-04,45.0,43.5
2026-09-08,46.0,44.5
2026-09-09,45.0,44.5
2026-09-10,45.0,44.5
2026-09-11,45.0,43.0
2026-09-14,45.0,43.0
2026-09-15,45.0,43.0
2026-09-16,45.0,43.0
2026-09-17,45.0,42.5
2026-09-18,46.0,43.0
2026-09-21,48.0,43.0
2026-09-22,50.0,45.5
2026-09-23,48.0,41.0
2026-09-24,48.0,45.5
