Date,CallWall,PutWall
2026-06-26,270.0,250.0
2026-06-29,300.0,250.0
2026-06-30,300.0,262.5
2026-07-01,300.0,245.0
2026-07-02,300.0,282.5
2026-07-06,300.0,275.0
2026-07-07,300.0,275.0
2026-07-08,300.0,275.0
2026-07-09,300.0,275.0
2026-07-10,300.0,290.0
2026-07-13,300.0,275.0
2026-07-14,260.0,220.0
2026-07-15,225.0,215.0
2026-07-16,230.0,210.0
2026-07-17,215.0,210.0
2026-07-20,225.0,200.0
2026-07-21,225.0,200.0
2026-07-22,225.0,200.0
2026-07-23,220.0,200.0
2026-07-24,215.0,200.0
2026-07-27,220.0,200.0
2026-07-28,230.0,200.0
2026-07-29,230.0,200.0
2026-07-30,220.0,200.0
2026-07-31,220.0,200.0
2026-08-03,230.0,200.0
2026-08-04,240.0,200.0
2026-08-05,250.0,210.0
2026-08-06,235.0,200.0
2026-08-07,235.0,215.0
2026-08-10,250.0,210.0
2026-08-11,250.0,210.0
2026-08-12,240.0,210.0
2026-08-13,240.0,210.0
2026-08-14,235.0,210.0
2026-08-17,230.0,210.0
2026-08-18,240.0,210.0
2026-08-19,240.0,210.0
2026-08-20,240.0,232.5
2026-08-21,235.0,232.5
2026-08-24,250.0,225.0
2026-08-25,250.0,225.0
2026-08-26,235.0,225.0
2026-08-27,245.0,215.0
2026-08-28,235.0,225.0
2026-08-31,250.0,227.5
2026-09-01,235.0,227.5
2026-09-02,235.0,227.5
2026-09-03,235.0,227.5
2026-09-04,235.0,225.0
2026-09-08,250.0,225.0
2026-09-09,245.0,225.0
2026-09-10,240.0,225.0
2026-09-11,240.0,220.0
2026-09-14,250.0,220.0
2026-09-15,260.0,220.0
2026-09-16,250.0,235.0
2026-09-17,245.0,230.0
2026-09-18,240.0,230.0
2026-09-21,240.0,220.0
2026-09-22,240.0,220.0
2026-09-23,240.0,220.0
2026-09-24,240.0,220.0
