Date,CallWall,PutWall
2026-06-26,127.0,126.0
2026-06-29,129.0,119.0
2026-06-30,129.0,119.0
2026-07-01,129.0,128.0
2026-07-02,132.0,126.0
2026-07-06,134.0,130.0
2026-07-07,145.0,130.0
2026-07-08,145.0,130.0
2026-07-09,134.0,130.0
2026-07-10,134.0,130.0
2026-07-13,140.0,130.0
2026-07-14,140.0,130.0
2026-07-15,140.0,139.0
2026-07-16,140.0,137.0
2026-07-17,140.0,139.0
2026-07-20,140.0,120.0
2026-07-21,135.0,125.0
2026-07-22,140.0,141.0
2026-07-23,140.0,141.0
2026-07-24,150.0,141.0
2026-07-27,155.0,138.0
2026-07-28,155.0,125.0
2026-07-29,155.0,135.0
2026-07-30,155.0,142.0
2026-07-31,155.0,152.5
2026-08-03,155.0,152.5
2026-08-04,155.0,152.5
2026-08-05,155.0,152.5
2026-08-06,155.0,152.5
2026-08-07,155.0,143.0
2026-08-10,155.0,148.0
2026-08-11,155.0,148.0
2026-08-12,155.0,148.0
2026-08-13,155.0,148.0
2026-08-14,160.0,148.0
2026-08-17,160.0,152.5
2026-08-18,160.0,152.5
2026-08-19,160.0,152.5
2026-08-20,160.0,155.0
2026-08-21,160.0,152.5
2026-08-24,160.0,140.0
2026-08-25,160.0,157.5
2026-08-26,160.0,157.5
2026-08-27,160.0,157.5
2026-08-28,160.0,157.5
2026-08-31,160.0,157.5
2026-09-01,160.0,157.5
2026-09-02,160.0,157.5
2026-09-03,160.0,155.0
2026-09-04,160.0,162.5
2026-09-07,160.0,155.0
2026-09-08,160.0,157.5
2026-09-09,160.0,157.5
2026-09-10,160.0,150.0
2026-09-11,160.0,157.5
2026-09-14,160.0,150.0
2026-09-15,160.0,150.0
2026-09-16,160.0,150.0
2026-09-17,160.0,150.0
2026-09-18,160.0,150.0
2026-09-21,157.5,155.0
2026-09-22,157.5,155.0
2026-09-23,157.5,155.0
2026-09-24,157.5,155.0
