Date,CallWall,PutWall
2026-06-26,130.0,100.0
2026-06-29,150.0,100.0
2026-06-30,150.0,100.0
2026-07-01,150.0,100.0
2026-07-02,120.0,119.0
2026-07-06,150.0,100.0
2026-07-07,140.0,100.0
2026-07-08,115.0,100.0
2026-07-09,115.0,100.0
2026-07-10,120.0,100.0
2026-07-13,120.0,100.0
2026-07-14,120.0,100.0
2026-07-15,120.0,100.0
2026-07-16,120.0,100.0
2026-07-17,120.0,95.0
2026-07-20,120.0,90.0
2026-07-21,120.0,90.0
2026-07-22,120.0,90.0
2026-07-23,120.0,95.0
2026-07-24,120.0,95.0
2026-07-27,120.0,90.0
2026-07-28,110.0,80.0
2026-07-29,87.0,80.0
2026-07-30,95.0,80.0
2026-07-31,93.0,80.0
2026-08-03,90.0,80.0
2026-08-04,100.0,80.0
2026-08-05,102.0,97.0
2026-08-06,105.0,97.0
2026-08-07,101.0,97.0
2026-08-10,110.0,98.0
2026-08-11,105.0,95.0
2026-08-12,105.0,95.0
2026-08-13,110.0,95.0
2026-08-14,110.0,95.0
2026-08-17,110.0,90.0
2026-08-18,110.0,95.0
2026-08-19,110.0,94.0
2026-08-20,110.0,90.0
2026-08-21,100.0,90.0
2026-08-24,100.0,88.0
2026-08-25,100.0,85.0
2026-08-26,100.0,85.0
2026-08-27,100.0,85.0
2026-08-28,100.0,89.0
2026-08-31,100.0,89.0
2026-09-01,100.0,85.0
2026-09-02,90.0,85.0
2026-09-03,95.0,85.0
2026-09-04,95.0,85.0
2026-09-08,100.0,90.0
2026-09-09,110.0,90.0
2026-09-10,110.0,90.0
2026-09-11,110.0,90.0
2026-09-14,110.0,90.0
2026-09-15,110.0,90.0
2026-09-16,110.0,90.0
2026-09-17,110.0,90.0
2026-09-18,110.0,106.0
2026-09-21,120.0,90.0
2026-09-22,130.0,119.0
2026-09-23,130.0,121.0
2026-09-24,130.0,119.0
