Date,CallWall,PutWall
2026-06-26,270.0,250.0
2026-06-29,270.0,250.0
2026-06-30,270.0,250.0
2026-07-01,270.0,250.0
2026-07-02,270.0,250.0
2026-07-06,270.0,250.0
2026-07-07,270.0,250.0
2026-07-08,270.0,250.0
2026-07-09,270.0,250.0
2026-07-10,270.0,250.0
2026-07-13,270.0,250.0
2026-07-14,270.0,250.0
2026-07-15,270.0,250.0
2026-07-16,280.0,270.0
2026-07-17,292.5,270.0
2026-07-20,290.0,250.0
2026-07-21,290.0,250.0
2026-07-22,290.0,282.5
2026-07-23,290.0,282.5
2026-07-24,300.0,285.0
2026-07-27,310.0,250.0
2026-07-28,320.0,240.0
2026-07-29,330.0,240.0
2026-07-30,320.0,240.0
2026-07-31,320.0,302.5
2026-08-03,340.0,310.0
2026-08-04,340.0,300.0
2026-08-05,340.0,300.0
2026-08-06,330.0,300.0
2026-08-07,330.0,300.0
2026-08-10,350.0,300.0
2026-08-11,350.0,300.0
2026-08-12,350.0,330.0
2026-08-13,350.0,300.0
2026-08-14,350.0,300.0
2026-08-17,350.0,300.0
2026-08-18,350.0,325.0
2026-08-19,380.0,325.0
2026-08-20,365.0,325.0
2026-08-21,365.0,325.0
2026-08-24,390.0,325.0
2026-08-25,390.0,325.0
2026-08-26,390.0,325.0
2026-08-27,390.0,340.0
2026-08-28,360.0,340.0
2026-08-31,390.0,340.0
2026-09-01,390.0,340.0
2026-09-02,390.0,340.0
2026-09-03,390.0,340.0
2026-09-04,390.0,340.0
2026-09-08,310.0,300.0
2026-09-09,310.0,300.0
2026-09-10,340.0,300.0
2026-09-11,322.5,320.0
2026-09-14,360.0,320.0
2026-09-15,347.5,320.0
2026-09-16,360.0,320.0
2026-09-17,360.0,320.0
2026-09-18,307.5,300.0
2026-09-21,360.0,300.0
2026-09-22,360.0,285.0
2026-09-23,360.0,285.0
2026-09-24,297.5,280.0
