Date,CallWall,PutWall
2026-08-18,30.0,27.5
2026-08-19,30.0,27.5
2026-08-20,32.5,27.5
2026-08-21,30.0,27.5
2026-08-24,30.0,27.5
2026-08-25,30.0,27.5
2026-08-26,30.0,27.5
2026-08-27,30.0,27.5
2026-08-28,30.0,27.5
2026-08-31,30.0,27.5
2026-09-01,30.0,27.5
2026-09-02,30.0,27.5
2026-09-03,30.0,27.5
2026-09-04,30.0,27.5
2026-09-07,30.0,27.5
2026-09-08,30.0,27.5
2026-09-09,30.0,27.5
2026-09-10,30.0,27.5
2026-09-11,30.0,27.5
2026-09-14,30.0,27.5
2026-09-15,30.0,27.5
2026-09-16,30.0,27.5
2026-09-17,30.0,27.5
2026-09-18,30.0,27.5
2026-09-21,30.0,20.0
2026-09-22,30.0,25.0
2026-09-23,30.0,20.0
2026-09-24,30.0,25.0
