Date,CallWall,PutWall
2026-06-26,407.5,390.0
2026-06-29,450.0,390.0
2026-06-30,450.0,390.0
2026-07-01,420.0,390.0
2026-07-02,425.0,390.0
2026-07-06,450.0,390.0
2026-07-07,450.0,390.0
2026-07-08,450.0,390.0
2026-07-09,450.0,390.0
2026-07-10,450.0,390.0
2026-07-13,450.0,390.0
2026-07-14,450.0,390.0
2026-07-15,450.0,390.0
2026-07-16,450.0,390.0
2026-07-17,450.0,350.0
2026-07-20,450.0,345.0
2026-07-21,365.0,345.0
2026-07-22,365.0,340.0
2026-07-23,365.0,320.0
2026-07-24,340.0,335.0
2026-07-27,360.0,345.0
2026-07-28,380.0,345.0
2026-07-29,370.0,345.0
2026-07-30,360.0,345.0
2026-07-31,360.0,350.0
2026-08-03,380.0,345.0
2026-08-04,380.0,345.0
2026-08-05,380.0,345.0
2026-08-06,380.0,360.0
2026-08-07,380.0,360.0
2026-08-10,390.0,377.5
2026-08-11,390.0,377.5
2026-08-12,390.0,377.5
2026-08-13,400.0,370.0
2026-08-14,400.0,350.0
2026-08-17,380.0,350.0
2026-08-18,400.0,350.0
2026-08-19,400.0,350.0
2026-08-20,400.0,350.0
2026-08-21,380.0,350.0
2026-08-24,400.0,350.0
2026-08-25,400.0,350.0
2026-08-26,400.0,350.0
2026-08-27,377.5,350.0
2026-08-28,372.5,350.0
2026-08-31,400.0,350.0
2026-09-01,400.0,350.0
2026-09-02,400.0,350.0
2026-09-03,400.0,350.0
2026-09-04,365.0,350.0
2026-09-07,377.5,350.0
2026-09-08,375.0,350.0
2026-09-09,360.0,350.0
2026-09-10,360.0,350.0
2026-09-11,375.0,350.0
2026-09-14,377.5,350.0
2026-09-15,377.5,350.0
2026-09-16,400.0,350.0
2026-09-17,400.0,350.0
2026-09-18,400.0,350.0
2026-09-21,405.0,335.0
2026-09-22,405.0,335.0
2026-09-23,405.0,335.0
2026-09-24,405.0,335.0
