Date,CallWall,PutWall
2026-06-26,87.0,84.0
2026-06-29,87.0,84.0
2026-06-30,87.0,84.0
2026-07-01,87.0,84.0
2026-07-02,87.0,84.0
2026-07-06,87.0,84.0
2026-07-07,87.0,84.0
2026-07-08,87.0,84.0
2026-07-09,87.0,84.0
2026-07-10,88.0,85.0
2026-07-13,88.0,85.0
2026-07-14,90.0,85.0
2026-07-15,90.0,85.0
2026-07-16,90.0,85.0
2026-07-17,89.0,85.0
2026-07-20,89.0,85.0
2026-07-21,89.0,85.0
2026-07-22,89.0,85.0
2026-07-23,89.0,85.0
2026-07-24,89.0,85.0
2026-07-27,89.0,85.0
2026-07-28,89.0,85.0
2026-07-29,89.0,85.0
2026-07-30,89.0,85.0
2026-07-31,89.0,85.0
2026-08-03,89.0,85.0
2026-08-04,89.0,85.0
2026-08-05,89.0,85.0
2026-08-06,89.0,85.0
2026-08-07,89.0,85.0
2026-08-10,89.0,85.0
2026-08-11,89.0,85.0
2026-08-12,89.0,85.0
2026-08-13,89.0,85.0
2026-08-14,89.0,85.0
2026-08-17,89.0,85.0
2026-08-18,89.0,85.0
2026-08-19,89.0,85.0
2026-08-20,89.0,85.0
2026-08-21,89.0,85.0
2026-08-24,86.0,83.0
2026-08-25,86.0,83.0
2026-08-26,86.0,83.0
2026-08-27,86.0,83.0
2026-08-28,85.0,83.0
2026-08-31,85.0,83.0
2026-09-01,85.0,83.0
2026-09-02,86.0,83.0
2026-09-03,86.0,83.0
2026-09-04,85.0,83.0
2026-09-08,86.0,83.0
2026-09-09,86.0,83.0
2026-09-10,86.0,83.0
2026-09-11,86.0,83.0
2026-09-14,86.0,83.0
2026-09-15,86.0,83.0
2026-09-16,86.0,81.0
2026-09-17,86.0,83.0
2026-09-18,86.0,81.0
2026-09-21,81.0,83.0
2026-09-22,81.0,79.0
2026-09-23,81.0,83.0
2026-09-24,81.0,75.0
