Date,CallWall,PutWall
2026-06-26,250.0,230.0
2026-06-29,260.0,230.0
2026-06-30,260.0,230.0
2026-07-01,250.0,230.0
2026-07-02,260.0,230.0
2026-07-06,260.0,242.5
2026-07-07,260.0,242.5
2026-07-08,260.0,252.5
2026-07-09,260.0,252.5
2026-07-10,260.0,252.5
2026-07-13,260.0,252.5
2026-07-14,260.0,252.5
2026-07-15,250.0,252.5
2026-07-16,250.0,252.5
2026-07-17,255.0,252.5
2026-07-20,250.0,245.0
2026-07-21,250.0,245.0
2026-07-22,260.0,245.0
2026-07-23,260.0,245.0
2026-07-24,265.0,245.0
2026-07-27,280.0,245.0
2026-07-28,270.0,257.5
2026-07-29,267.5,257.5
2026-07-30,280.0,257.5
2026-07-31,280.0,245.0
2026-08-03,260.0,245.0
2026-08-04,260.0,245.0
2026-08-05,260.0,245.0
2026-08-06,260.0,245.0
2026-08-07,257.5,255.0
2026-08-10,265.0,257.5
2026-08-11,265.0,257.5
2026-08-12,265.0,257.5
2026-08-13,265.0,257.5
2026-08-14,270.0,257.5
2026-08-17,270.0,257.5
2026-08-18,270.0,240.0
2026-08-19,280.0,240.0
2026-08-20,270.0,267.5
2026-08-21,280.0,250.0
2026-08-24,270.0,250.0
2026-08-25,270.0,265.0
2026-08-26,270.0,265.0
2026-08-27,270.0,265.0
2026-08-28,270.0,265.0
2026-08-31,270.0,240.0
2026-09-01,270.0,265.0
2026-09-02,270.0,255.0
2026-09-03,280.0,220.0
2026-09-04,280.0,272.5
2026-09-07,280.0,270.0
2026-09-08,270.0,265.0
2026-09-09,270.0,265.0
2026-09-10,270.0,265.0
2026-09-11,270.0,265.0
2026-09-14,270.0,265.0
2026-09-15,270.0,265.0
2026-09-16,270.0,255.0
2026-09-17,270.0,260.0
2026-09-18,280.0,260.0
2026-09-21,280.0,265.0
2026-09-22,280.0,265.0
2026-09-23,280.0,265.0
2026-09-24,280.0,265.0
