Date,CallWall,PutWall
2026-06-26,82.0,79.0
2026-06-29,83.0,77.5
2026-06-30,83.0,77.5
2026-07-01,83.0,79.0
2026-07-02,83.0,79.0
2026-07-06,83.0,79.0
2026-07-07,83.0,77.5
2026-07-08,83.0,79.0
2026-07-09,83.0,79.0
2026-07-10,85.0,82.0
2026-07-13,85.0,82.0
2026-07-14,85.0,82.0
2026-07-15,83.0,82.0
2026-07-16,85.0,75.0
2026-07-17,85.0,75.0
2026-07-20,85.0,75.0
2026-07-21,85.0,75.0
2026-07-22,85.0,75.0
2026-07-23,85.0,75.0
2026-07-24,82.0,75.0
2026-07-27,85.0,75.0
2026-07-28,85.0,75.0
2026-07-29,85.0,79.0
2026-07-30,85.0,86.0
2026-07-31,90.0,87.0
2026-08-03,85.0,86.0
2026-08-04,90.0,86.0
2026-08-05,90.0,84.0
2026-08-06,85.0,84.0
2026-08-07,87.0,84.0
2026-08-10,85.0,86.0
2026-08-11,85.0,86.0
2026-08-12,85.0,86.0
2026-08-13,88.0,87.0
2026-08-14,88.0,86.0
2026-08-17,85.0,86.0
2026-08-18,90.0,86.0
2026-08-19,90.0,87.0
2026-08-20,90.0,87.0
2026-08-21,91.0,87.0
2026-08-24,92.0,88.0
2026-08-25,92.0,88.0
2026-08-26,95.0,88.0
2026-08-27,95.0,88.0
2026-08-28,90.0,87.0
2026-08-31,90.0,87.0
2026-09-01,90.0,87.0
2026-09-02,90.0,87.0
2026-09-03,90.0,87.0
2026-09-04,90.0,87.0
2026-09-07,90.0,87.0
2026-09-08,90.0,85.0
2026-09-09,90.0,87.0
2026-09-10,90.0,87.0
2026-09-11,90.0,85.0
2026-09-14,90.0,85.0
2026-09-15,90.0,87.5
2026-09-16,90.0,87.5
2026-09-17,90.0,87.5
2026-09-18,90.0,88.0
2026-09-21,89.0,85.0
2026-09-22,89.0,86.0
2026-09-23,89.0,86.0
2026-09-24,89.0,85.0
