Date,CallWall,PutWall
2026-06-26,59.0,57.0
2026-06-29,59.0,55.0
2026-06-30,57.0,56.0
2026-07-01,57.0,55.0
2026-07-02,58.0,57.5
2026-07-06,59.0,57.5
2026-07-07,59.0,57.0
2026-07-08,59.0,56.0
2026-07-09,60.0,56.0
2026-07-10,60.0,59.0
2026-07-13,62.0,60.0
2026-07-14,62.0,59.0
2026-07-15,62.0,56.0
2026-07-16,58.0,56.0
2026-07-17,58.0,56.0
2026-07-20,58.0,55.0
2026-07-21,58.0,55.0
2026-07-22,58.0,55.0
2026-07-23,58.0,55.0
2026-07-24,58.0,55.0
2026-07-27,57.0,55.0
2026-07-28,65.0,55.0
2026-07-29,57.0,55.0
2026-07-30,57.0,55.0
2026-07-31,57.0,55.0
2026-08-03,62.0,55.0
2026-08-04,59.0,55.0
2026-08-05,59.0,55.0
2026-08-06,59.0,55.0
2026-08-07,58.0,55.0
2026-08-10,58.0,55.0
2026-08-11,58.0,55.0
2026-08-12,58.0,55.0
2026-08-13,57.0,55.0
2026-08-14,57.0,55.0
2026-08-17,57.0,55.0
2026-08-18,57.0,55.0
2026-08-19,57.0,55.0
2026-08-20,57.0,55.0
2026-08-21,58.0,55.0
2026-08-24,59.0,55.0
2026-08-25,59.0,55.0
2026-08-26,59.0,55.0
2026-08-27,59.0,56.0
2026-08-28,58.0,56.0
2026-08-31,58.0,55.0
2026-09-01,58.0,55.0
2026-09-02,59.0,55.0
2026-09-03,59.0,55.0
2026-09-04,59.0,55.0
2026-09-07,60.0,55.0
2026-09-08,60.0,55.0
2026-09-09,60.0,55.0
2026-09-10,60.0,55.0
2026-09-11,60.0,55.0
2026-09-14,61.0,55.0
2026-09-15,61.0,55.0
2026-09-16,61.0,55.0
2026-09-17,61.0,55.0
2026-09-18,61.0,60.0
2026-09-21,62.0,55.0
2026-09-22,62.0,57.0
2026-09-23,62.0,57.0
2026-09-24,62.0,57.0
