Date,CallWall,PutWall
2026-06-26,75.0,70.0
2026-06-29,75.0,70.0
2026-06-30,75.0,70.0
2026-07-01,75.0,72.0
2026-07-02,76.0,72.0
2026-07-06,75.0,72.0
2026-07-07,75.0,72.0
2026-07-08,75.0,72.0
2026-07-09,75.0,72.0
2026-07-10,75.0,71.0
2026-07-13,75.0,71.0
2026-07-14,75.0,71.0
2026-07-15,75.0,71.0
2026-07-16,78.0,71.0
2026-07-17,78.0,71.0
2026-07-20,78.0,75.0
2026-07-21,78.0,75.0
2026-07-22,78.0,74.0
2026-07-23,78.0,74.0
2026-07-24,78.0,76.0
2026-07-27,78.0,71.0
2026-07-28,78.0,71.0
2026-07-29,78.0,71.0
2026-07-30,78.0,74.5
2026-07-31,78.0,74.5
2026-08-03,78.0,74.5
2026-08-04,78.0,74.5
2026-08-05,78.0,74.5
2026-08-06,80.0,74.5
2026-08-07,80.0,74.5
2026-08-10,78.0,74.5
2026-08-11,80.0,74.5
2026-08-12,80.0,74.5
2026-08-13,80.0,74.5
2026-08-14,80.0,74.5
2026-08-17,78.0,74.5
2026-08-18,78.0,74.5
2026-08-19,80.0,74.5
2026-08-20,80.0,74.5
2026-08-21,73.0,74.5
2026-08-24,80.0,72.0
2026-08-25,80.0,72.0
2026-08-26,80.0,72.0
2026-08-27,77.0,74.0
2026-08-28,77.0,74.0
2026-08-31,77.0,72.0
2026-09-01,77.0,72.0
2026-09-02,77.0,72.0
2026-09-03,77.0,72.0
2026-09-04,77.0,72.0
2026-09-08,77.0,72.0
2026-09-09,77.0,72.0
2026-09-10,77.0,72.0
2026-09-11,80.0,72.0
2026-09-14,80.0,72.0
2026-09-15,80.0,74.0
2026-09-16,80.0,71.0
2026-09-17,80.0,73.0
2026-09-18,80.0,73.0
2026-09-21,80.0,71.0
2026-09-22,80.0,71.0
2026-09-23,80.0,71.0
2026-09-24,80.0,71.0
