Date,CallWall,PutWall
2026-06-26,95.0,85.0
2026-06-29,95.0,85.0
2026-06-30,95.0,85.0
2026-07-01,95.0,85.0
2026-07-02,95.0,85.0
2026-07-06,90.0,85.0
2026-07-07,90.0,85.0
2026-07-08,84.0,85.0
2026-07-09,84.0,85.0
2026-07-10,100.0,85.0
2026-07-13,84.0,85.0
2026-07-14,84.0,85.0
2026-07-15,86.0,85.0
2026-07-16,86.0,85.0
2026-07-17,84.0,80.0
2026-07-20,100.0,80.0
2026-07-21,100.0,80.0
2026-07-22,100.0,80.0
2026-07-23,87.0,80.0
2026-07-24,87.0,80.0
2026-07-27,100.0,80.0
2026-07-28,95.0,80.0
2026-07-29,95.0,80.0
2026-07-30,95.0,80.0
2026-07-31,95.0,80.0
2026-08-03,95.0,80.0
2026-08-04,95.0,80.0
2026-08-05,87.0,80.0
2026-08-06,95.0,80.0
2026-08-07,88.0,80.0
2026-08-10,95.0,85.0
2026-08-11,95.0,85.0
2026-08-12,95.0,85.0
2026-08-13,88.0,83.0
2026-08-14,87.0,83.0
2026-08-17,89.0,83.0
2026-08-18,89.0,83.0
2026-08-19,89.0,83.0
2026-08-20,89.0,83.0
2026-08-21,89.0,83.0
2026-08-24,95.0,85.0
2026-08-25,90.0,85.0
2026-08-26,90.0,85.0
2026-08-27,90.0,85.0
2026-08-28,88.0,85.0
2026-08-31,88.0,85.0
2026-09-01,88.0,85.0
2026-09-02,88.0,85.0
2026-09-03,87.0,80.0
2026-09-04,85.0,84.0
2026-09-07,92.0,87.0
2026-09-08,86.0,81.0
2026-09-09,86.0,81.0
2026-09-10,87.0,77.0
2026-09-11,87.0,80.0
2026-09-14,87.0,82.0
2026-09-15,87.0,82.0
2026-09-16,87.0,75.0
2026-09-17,85.0,78.0
2026-09-18,84.0,76.0
2026-09-21,84.0,78.0
2026-09-22,84.0,78.0
2026-09-23,84.0,78.0
2026-09-24,84.0,78.0
