Date,CallWall,PutWall
2026-06-26,520.0,500.0
2026-06-29,520.0,500.0
2026-06-30,520.0,500.0
2026-07-01,520.0,510.0
2026-07-02,560.0,510.0
2026-07-06,530.0,540.0
2026-07-07,520.0,540.0
2026-07-08,520.0,510.0
2026-07-09,520.0,510.0
2026-07-10,530.0,510.0
2026-07-13,520.0,510.0
2026-07-14,520.0,510.0
2026-07-15,520.0,510.0
2026-07-16,520.0,510.0
2026-07-17,515.0,510.0
2026-07-20,545.0,500.0
2026-07-21,545.0,500.0
2026-07-22,545.0,495.0
2026-07-23,545.0,495.0
2026-07-24,545.0,495.0
2026-07-27,545.0,495.0
2026-07-28,545.0,495.0
2026-07-29,545.0,500.0
2026-07-30,545.0,500.0
2026-07-31,545.0,500.0
2026-08-03,545.0,475.0
2026-08-04,545.0,475.0
2026-08-05,545.0,500.0
2026-08-06,545.0,500.0
2026-08-07,545.0,500.0
2026-08-10,545.0,500.0
2026-08-11,545.0,500.0
2026-08-12,545.0,475.0
2026-08-13,545.0,475.0
2026-08-14,510.0,475.0
2026-08-17,510.0,475.0
2026-08-18,510.0,475.0
2026-08-19,485.0,475.0
2026-08-20,510.0,475.0
2026-08-21,510.0,480.0
2026-08-24,510.0,460.0
2026-08-25,510.0,460.0
2026-08-26,510.0,460.0
2026-08-27,510.0,460.0
2026-08-28,510.0,460.0
2026-08-31,510.0,460.0
2026-09-01,510.0,460.0
2026-09-02,510.0,460.0
2026-09-03,510.0,460.0
2026-09-04,510.0,460.0
2026-09-07,510.0,460.0
2026-09-08,510.0,460.0
2026-09-09,500.0,460.0
2026-09-10,500.0,460.0
2026-09-11,510.0,460.0
2026-09-14,490.0,460.0
2026-09-15,490.0,460.0
2026-09-16,490.0,460.0
2026-09-17,510.0,460.0
2026-09-18,510.0,460.0
2026-09-21,480.0,475.0
2026-09-22,480.0,475.0
2026-09-23,480.0,475.0
2026-09-24,480.0,475.0
