Date,CallWall,PutWall
2026-06-26,522.5,510.0
2026-06-29,522.5,500.0
2026-06-30,522.5,500.0
2026-07-01,522.5,500.0
2026-07-02,540.0,515.0
2026-07-06,565.0,515.0
2026-07-07,545.0,537.5
2026-07-08,517.5,537.5
2026-07-09,517.5,515.0
2026-07-10,520.0,515.0
2026-07-13,517.5,515.0
2026-07-14,517.5,515.0
2026-07-15,517.5,505.0
2026-07-16,517.5,515.0
2026-07-17,520.0,510.0
2026-07-20,555.0,505.0
2026-07-21,555.0,505.0
2026-07-22,555.0,505.0
2026-07-23,560.0,530.0
2026-07-24,580.0,530.0
2026-07-27,600.0,530.0
2026-07-28,600.0,530.0
2026-07-29,600.0,530.0
2026-07-30,600.0,550.0
2026-07-31,580.0,570.0
2026-08-03,600.0,530.0
2026-08-04,600.0,530.0
2026-08-05,600.0,570.0
2026-08-06,585.0,570.0
2026-08-07,585.0,570.0
2026-08-10,610.0,585.0
2026-08-11,605.0,585.0
2026-08-12,610.0,585.0
2026-08-13,610.0,585.0
2026-08-14,610.0,570.0
2026-08-17,610.0,585.0
2026-08-18,610.0,585.0
2026-08-19,600.0,585.0
2026-08-20,600.0,585.0
2026-08-21,600.0,560.0
2026-08-24,600.0,570.0
2026-08-25,600.0,550.0
2026-08-26,600.0,550.0
2026-08-27,600.0,550.0
2026-08-28,600.0,560.0
2026-08-31,600.0,535.0
2026-09-01,600.0,535.0
2026-09-02,600.0,535.0
2026-09-03,570.0,535.0
2026-09-04,600.0,525.0
2026-09-07,600.0,535.0
2026-09-08,600.0,535.0
2026-09-09,550.0,535.0
2026-09-10,600.0,525.0
2026-09-11,550.0,525.0
2026-09-14,532.5,520.0
2026-09-15,550.0,535.0
2026-09-16,540.0,520.0
2026-09-17,532.5,535.0
2026-09-18,535.0,530.0
2026-09-21,555.0,520.0
2026-09-22,550.0,520.0
2026-09-23,555.0,520.0
2026-09-24,555.0,520.0
