Date,CallWall,PutWall
2026-06-26,250.0,220.0
2026-06-29,250.0,230.0
2026-06-30,250.0,230.0
2026-07-01,250.0,230.0
2026-07-02,250.0,230.0
2026-07-06,250.0,230.0
2026-07-07,270.0,230.0
2026-07-08,270.0,230.0
2026-07-09,270.0,230.0
2026-07-10,260.0,240.0
2026-07-13,280.0,230.0
2026-07-14,270.0,230.0
2026-07-15,290.0,252.5
2026-07-16,260.0,252.5
2026-07-17,260.0,252.5
2026-07-20,280.0,265.0
2026-07-21,280.0,257.5
2026-07-22,280.0,265.0
2026-07-23,280.0,265.0
2026-07-24,280.0,265.0
2026-07-27,280.0,260.0
2026-07-28,280.0,260.0
2026-07-29,280.0,260.0
2026-07-30,280.0,260.0
2026-07-31,280.0,260.0
2026-08-03,280.0,260.0
2026-08-04,280.0,230.0
2026-08-05,280.0,230.0
2026-08-06,280.0,250.0
2026-08-07,280.0,250.0
2026-08-10,280.0,260.0
2026-08-11,280.0,260.0
2026-08-12,280.0,260.0
2026-08-13,280.0,260.0
2026-08-14,280.0,260.0
2026-08-17,280.0,230.0
2026-08-18,280.0,230.0
2026-08-19,280.0,230.0
2026-08-20,280.0,230.0
2026-08-21,280.0,275.0
2026-08-24,290.0,275.0
2026-08-25,290.0,275.0
2026-08-26,290.0,275.0
2026-08-27,290.0,275.0
2026-08-28,290.0,275.0
2026-08-31,290.0,275.0
2026-09-01,290.0,282.5
2026-09-02,290.0,282.5
2026-09-03,300.0,282.5
2026-09-04,300.0,282.5
2026-09-07,300.0,270.0
2026-09-08,290.0,275.0
2026-09-09,290.0,267.5
2026-09-10,290.0,270.0
2026-09-11,290.0,275.0
2026-09-14,290.0,260.0
2026-09-15,290.0,260.0
2026-09-16,290.0,260.0
2026-09-17,290.0,260.0
2026-09-18,290.0,260.0
2026-09-21,290.0,260.0
2026-09-22,280.0,260.0
2026-09-23,280.0,260.0
2026-09-24,280.0,260.0
