Date,CallWall,PutWall
2026-06-26,225.0,210.0
2026-06-29,225.0,215.0
2026-06-30,225.0,215.0
2026-07-01,225.0,215.0
2026-07-02,225.0,215.0
2026-07-06,230.0,215.0
2026-07-07,230.0,215.0
2026-07-08,230.0,215.0
2026-07-09,230.0,215.0
2026-07-10,230.0,215.0
2026-07-13,230.0,195.0
2026-07-14,215.0,195.0
2026-07-15,215.0,210.0
2026-07-16,215.0,217.5
2026-07-17,215.0,210.0
2026-07-20,220.0,195.0
2026-07-21,220.0,195.0
2026-07-22,220.0,200.0
2026-07-23,220.0,200.0
2026-07-24,220.0,205.0
2026-07-27,210.0,195.0
2026-07-28,220.0,195.0
2026-07-29,220.0,195.0
2026-07-30,210.0,195.0
2026-07-31,210.0,195.0
2026-08-03,220.0,195.0
2026-08-04,222.5,195.0
2026-08-05,222.5,195.0
2026-08-06,222.5,195.0
2026-08-07,222.5,195.0
2026-08-10,220.0,195.0
2026-08-11,230.0,195.0
2026-08-12,220.0,195.0
2026-08-13,220.0,195.0
2026-08-14,220.0,195.0
2026-08-17,230.0,200.0
2026-08-18,230.0,200.0
2026-08-19,220.0,200.0
2026-08-20,220.0,210.0
2026-08-21,220.0,210.0
2026-08-24,230.0,200.0
2026-08-25,230.0,200.0
2026-08-26,230.0,200.0
2026-08-27,230.0,210.0
2026-08-28,220.0,200.0
2026-08-31,215.0,200.0
2026-09-01,220.0,200.0
2026-09-02,220.0,200.0
2026-09-03,202.5,200.0
2026-09-04,207.5,205.0
2026-09-07,220.0,200.0
2026-09-08,202.5,200.0
2026-09-09,202.5,200.0
2026-09-10,202.5,200.0
2026-09-11,202.5,200.0
2026-09-14,220.0,195.0
2026-09-15,220.0,195.0
2026-09-16,220.0,195.0
2026-09-17,220.0,195.0
2026-09-18,220.0,195.0
2026-09-21,220.0,195.0
2026-09-22,197.5,195.0
2026-09-23,205.0,195.0
2026-09-24,205.0,195.0
