Date,CallWall,PutWall
2026-06-26,385.0,370.0
2026-06-29,460.0,360.0
2026-06-30,460.0,360.0
2026-07-01,392.5,360.0
2026-07-02,460.0,300.0
2026-07-06,385.0,300.0
2026-07-07,385.0,300.0
2026-07-08,335.0,300.0
2026-07-09,375.0,300.0
2026-07-10,370.0,300.0
2026-07-13,370.0,300.0
2026-07-14,400.0,300.0
2026-07-15,380.0,300.0
2026-07-16,342.5,300.0
2026-07-17,335.0,300.0
2026-07-20,335.0,240.0
2026-07-21,335.0,240.0
2026-07-22,335.0,240.0
2026-07-23,335.0,240.0
2026-07-24,330.0,310.0
2026-07-27,310.0,240.0
2026-07-28,310.0,240.0
2026-07-29,310.0,240.0
2026-07-30,300.0,240.0
2026-07-31,300.0,240.0
2026-08-03,310.0,240.0
2026-08-04,310.0,240.0
2026-08-05,310.0,240.0
2026-08-06,310.0,240.0
2026-08-07,310.0,240.0
2026-08-10,320.0,240.0
2026-08-11,320.0,360.0
2026-08-12,320.0,360.0
2026-08-13,330.0,360.0
2026-08-14,330.0,317.5
2026-08-17,355.0,360.0
2026-08-18,310.0,317.5
2026-08-19,310.0,290.0
2026-08-20,310.0,317.5
2026-08-21,320.0,317.5
2026-08-24,330.0,300.0
2026-08-25,330.0,300.0
2026-08-26,330.0,300.0
2026-08-27,320.0,300.0
2026-08-28,330.0,300.0
2026-08-31,322.5,280.0
2026-09-01,330.0,280.0
2026-09-02,305.0,280.0
2026-09-03,305.0,280.0
2026-09-04,302.5,280.0
2026-09-08,330.0,290.0
2026-09-09,330.0,290.0
2026-09-10,292.5,290.0
2026-09-11,300.0,290.0
2026-09-14,305.0,280.0
2026-09-15,282.5,230.0
2026-09-16,282.5,230.0
2026-09-17,282.5,230.0
2026-09-18,282.5,280.0
2026-09-21,300.0,230.0
2026-09-22,307.5,280.0
2026-09-23,307.5,280.0
2026-09-24,307.5,230.0
