Date,CallWall,PutWall
2026-06-26,125.0,105.0
2026-06-29,125.0,105.0
2026-06-30,120.0,105.0
2026-07-01,120.0,105.0
2026-07-02,118.0,105.0
2026-07-06,125.0,105.0
2026-07-07,125.0,105.0
2026-07-08,125.0,111.0
2026-07-09,130.0,111.0
2026-07-10,120.0,115.0
2026-07-13,125.0,115.0
2026-07-14,125.0,115.0
2026-07-15,120.0,115.0
2026-07-16,120.0,115.0
2026-07-17,117.0,115.0
2026-07-20,120.0,116.0
2026-07-21,120.0,110.0
2026-07-22,120.0,110.0
2026-07-23,120.0,110.0
2026-07-24,120.0,116.0
2026-07-27,120.0,100.0
2026-07-28,120.0,105.0
2026-07-29,120.0,115.0
2026-07-30,120.0,115.0
2026-07-31,120.0,118.0
2026-08-03,120.0,115.0
2026-08-04,120.0,115.0
2026-08-05,120.0,119.0
2026-08-06,125.0,119.0
2026-08-07,127.0,115.0
2026-08-10,130.0,115.0
2026-08-11,130.0,119.0
2026-08-12,120.0,119.0
2026-08-13,120.0,119.0
2026-08-14,120.0,119.0
2026-08-17,120.0,115.0
2026-08-18,120.0,115.0
2026-08-19,120.0,115.0
2026-08-20,120.0,115.0
2026-08-21,120.0,119.0
2026-08-24,125.0,110.0
2026-08-25,125.0,110.0
2026-08-26,125.0,115.0
2026-08-27,119.0,115.0
2026-08-28,119.0,118.0
2026-08-31,140.0,110.0
2026-09-01,140.0,110.0
2026-09-02,140.0,110.0
2026-09-03,130.0,110.0
2026-09-04,130.0,100.0
2026-09-07,120.0,100.0
2026-09-08,105.0,100.0
2026-09-09,105.0,100.0
2026-09-10,105.0,95.0
2026-09-11,99.0,98.0
2026-09-14,115.0,100.0
2026-09-15,115.0,100.0
2026-09-16,105.0,95.0
2026-09-17,105.0,100.0
2026-09-18,102.0,100.0
2026-09-21,102.0,95.0
2026-09-22,102.0,95.0
2026-09-23,102.0,95.0
2026-09-24,102.0,95.0
