Date,CallWall,PutWall
2026-06-26,180.0,165.0
2026-06-29,180.0,165.0
2026-06-30,180.0,165.0
2026-07-01,180.0,165.0
2026-07-02,180.0,185.0
2026-07-06,180.0,165.0
2026-07-07,180.0,185.0
2026-07-08,180.0,165.0
2026-07-09,180.0,165.0
2026-07-10,180.0,165.0
2026-07-13,180.0,165.0
2026-07-14,180.0,165.0
2026-07-15,180.0,165.0
2026-07-16,180.0,165.0
2026-07-17,180.0,175.0
2026-07-20,190.0,177.5
2026-07-21,182.5,177.5
2026-07-22,182.5,177.5
2026-07-23,185.0,170.0
2026-07-24,182.5,170.0
2026-07-27,190.0,170.0
2026-07-28,190.0,170.0
2026-07-29,190.0,170.0
2026-07-30,190.0,170.0
2026-07-31,190.0,170.0
2026-08-03,190.0,170.0
2026-08-04,190.0,170.0
2026-08-05,190.0,170.0
2026-08-06,190.0,180.0
2026-08-07,190.0,180.0
2026-08-10,190.0,170.0
2026-08-11,190.0,170.0
2026-08-12,190.0,182.5
2026-08-13,190.0,170.0
2026-08-14,190.0,160.0
2026-08-17,190.0,145.0
2026-08-18,190.0,177.5
2026-08-19,190.0,177.5
2026-08-20,190.0,177.5
2026-08-21,190.0,177.5
2026-08-24,190.0,145.0
2026-08-25,190.0,145.0
2026-08-26,190.0,145.0
2026-08-27,190.0,177.5
2026-08-28,190.0,177.5
2026-08-31,190.0,145.0
2026-09-01,190.0,175.0
2026-09-02,190.0,172.5
2026-09-03,190.0,172.5
2026-09-04,165.0,172.5
2026-09-08,165.0,160.0
2026-09-09,165.0,170.0
2026-09-10,165.0,170.0
2026-09-11,165.0,170.0
2026-09-14,190.0,160.0
2026-09-15,165.0,160.0
2026-09-16,165.0,160.0
2026-09-17,165.0,160.0
2026-09-18,165.0,160.0
2026-09-21,185.0,160.0
2026-09-22,180.0,160.0
2026-09-23,185.0,160.0
2026-09-24,175.0,160.0
