Date,CallWall,PutWall
2026-06-26,500.0,470.0
2026-06-29,500.0,485.0
2026-06-30,520.0,485.0
2026-07-01,520.0,485.0
2026-07-02,540.0,450.0
2026-07-06,535.0,440.0
2026-07-07,535.0,450.0
2026-07-08,535.0,480.0
2026-07-09,527.5,515.0
2026-07-10,527.5,507.5
2026-07-13,535.0,450.0
2026-07-14,535.0,525.0
2026-07-15,535.0,525.0
2026-07-16,550.0,525.0
2026-07-17,535.0,532.5
2026-07-20,560.0,532.5
2026-07-21,560.0,532.5
2026-07-22,550.0,530.0
2026-07-23,560.0,530.0
2026-07-24,560.0,532.5
2026-07-27,560.0,450.0
2026-07-28,560.0,450.0
2026-07-29,560.0,450.0
2026-07-30,575.0,450.0
2026-07-31,575.0,450.0
2026-08-03,600.0,567.5
2026-08-04,600.0,567.5
2026-08-05,600.0,567.5
2026-08-06,600.0,567.5
2026-08-07,565.0,567.5
2026-08-10,560.0,450.0
2026-08-11,560.0,557.5
2026-08-12,560.0,557.5
2026-08-13,565.0,540.0
2026-08-14,570.0,567.5
2026-08-17,560.0,567.5
2026-08-18,580.0,567.5
2026-08-19,580.0,567.5
2026-08-20,580.0,567.5
2026-08-21,580.0,560.0
2026-08-24,600.0,500.0
2026-08-25,600.0,582.5
2026-08-26,600.0,582.5
2026-08-27,600.0,582.5
2026-08-28,600.0,582.5
2026-08-31,600.0,582.5
2026-09-01,600.0,582.5
2026-09-02,600.0,582.5
2026-09-03,600.0,582.5
2026-09-04,600.0,582.5
2026-09-07,600.0,575.0
2026-09-08,600.0,567.5
2026-09-09,600.0,567.5
2026-09-10,550.0,567.5
2026-09-11,600.0,567.5
2026-09-14,600.0,555.0
2026-09-15,600.0,555.0
2026-09-16,570.0,550.0
2026-09-17,600.0,565.0
2026-09-18,570.0,560.0
2026-09-21,600.0,550.0
2026-09-22,600.0,550.0
2026-09-23,567.5,550.0
2026-09-24,567.5,550.0
