Date,CallWall,PutWall
2026-06-26,400.0,375.0
2026-06-29,380.0,375.0
2026-06-30,380.0,375.0
2026-07-01,380.0,365.0
2026-07-02,380.0,365.0
2026-07-06,380.0,365.0
2026-07-07,380.0,365.0
2026-07-08,380.0,365.0
2026-07-09,380.0,365.0
2026-07-10,380.0,350.0
2026-07-13,380.0,350.0
2026-07-14,380.0,350.0
2026-07-15,380.0,360.0
2026-07-16,380.0,365.0
2026-07-17,380.0,365.0
2026-07-20,400.0,350.0
2026-07-21,400.0,350.0
2026-07-22,400.0,350.0
2026-07-23,400.0,350.0
2026-07-24,400.0,372.5
2026-07-27,400.0,350.0
2026-07-28,400.0,350.0
2026-07-29,400.0,350.0
2026-07-30,400.0,350.0
2026-07-31,380.0,350.0
2026-08-03,400.0,350.0
2026-08-04,347.5,350.0
2026-08-05,352.5,350.0
2026-08-06,380.0,350.0
2026-08-07,352.5,350.0
2026-08-10,380.0,350.0
2026-08-11,380.0,350.0
2026-08-12,380.0,350.0
2026-08-13,380.0,350.0
2026-08-14,330.0,350.0
2026-08-17,330.0,350.0
2026-08-18,330.0,350.0
2026-08-19,330.0,350.0
2026-08-20,330.0,350.0
2026-08-21,330.0,350.0
2026-08-24,330.0,360.0
2026-08-25,330.0,360.0
2026-08-26,330.0,360.0
2026-08-27,330.0,360.0
2026-08-28,330.0,360.0
2026-08-31,330.0,360.0
2026-09-01,330.0,337.5
2026-09-02,330.0,337.5
2026-09-03,330.0,337.5
2026-09-04,330.0,337.5
2026-09-07,330.0,337.5
2026-09-08,330.0,337.5
2026-09-09,330.0,335.0
2026-09-10,330.0,327.5
2026-09-11,330.0,335.0
2026-09-14,330.0,337.5
2026-09-15,330.0,337.5
2026-09-16,330.0,337.5
2026-09-17,330.0,335.0
2026-09-18,330.0,335.0
2026-09-21,350.0,330.0
2026-09-22,350.0,330.0
2026-09-23,355.0,330.0
2026-09-24,355.0,330.0
