Date,CallWall,PutWall
2026-06-26,290.0,270.0
2026-06-29,285.0,265.0
2026-06-30,285.0,265.0
2026-07-01,285.0,265.0
2026-07-02,280.0,265.0
2026-07-06,285.0,265.0
2026-07-07,285.0,265.0
2026-07-08,285.0,270.0
2026-07-09,285.0,270.0
2026-07-10,285.0,270.0
2026-07-13,285.0,265.0
2026-07-14,285.0,265.0
2026-07-15,285.0,265.0
2026-07-16,285.0,270.0
2026-07-17,285.0,267.5
2026-07-20,300.0,265.0
2026-07-21,272.5,265.0
2026-07-22,265.0,260.0
2026-07-23,265.0,260.0
2026-07-24,265.0,260.0
2026-07-27,270.0,265.0
2026-07-28,285.0,265.0
2026-07-29,285.0,265.0
2026-07-30,270.0,265.0
2026-07-31,270.0,265.0
2026-08-03,285.0,265.0
2026-08-04,270.0,260.0
2026-08-05,270.0,265.0
2026-08-06,280.0,265.0
2026-08-07,270.0,265.0
2026-08-10,270.0,265.0
2026-08-11,270.0,265.0
2026-08-12,275.0,265.0
2026-08-13,275.0,265.0
2026-08-14,275.0,265.0
2026-08-17,275.0,265.0
2026-08-18,270.0,265.0
2026-08-19,270.0,265.0
2026-08-20,270.0,265.0
2026-08-21,270.0,260.0
2026-08-24,290.0,260.0
2026-08-25,275.0,260.0
2026-08-26,275.0,260.0
2026-08-27,275.0,260.0
2026-08-28,265.0,260.0
2026-08-31,270.0,260.0
2026-09-01,280.0,260.0
2026-09-02,275.0,260.0
2026-09-03,272.5,260.0
2026-09-04,275.0,255.0
2026-09-07,272.5,260.0
2026-09-08,272.5,260.0
2026-09-09,270.0,250.0
2026-09-10,257.5,250.0
2026-09-11,280.0,250.0
2026-09-14,280.0,260.0
2026-09-15,280.0,250.0
2026-09-16,280.0,250.0
2026-09-17,265.0,250.0
2026-09-18,265.0,250.0
2026-09-21,257.5,245.0
2026-09-22,257.5,245.0
2026-09-23,260.0,240.0
2026-09-24,242.5,235.0
