Date,CallWall,PutWall
2026-06-26,61.0,57.5
2026-06-29,65.0,57.5
2026-06-30,65.0,57.5
2026-07-01,65.0,57.5
2026-07-02,65.0,60.0
2026-07-06,65.0,57.5
2026-07-07,65.0,57.5
2026-07-08,65.0,57.5
2026-07-09,65.0,57.5
2026-07-10,65.0,57.5
2026-07-13,65.0,57.5
2026-07-14,65.0,57.5
2026-07-15,65.0,57.5
2026-07-16,65.0,57.5
2026-07-17,65.0,57.5
2026-07-20,65.0,57.5
2026-07-21,65.0,57.5
2026-07-22,63.0,57.5
2026-07-23,63.0,57.5
2026-07-24,63.0,57.5
2026-07-27,65.0,57.5
2026-07-28,64.0,57.5
2026-07-29,64.0,57.5
2026-07-30,64.0,57.5
2026-07-31,64.0,57.5
2026-08-03,65.0,57.5
2026-08-04,65.0,57.5
2026-08-05,65.0,57.5
2026-08-06,65.0,57.5
2026-08-07,65.0,57.5
2026-08-10,65.0,57.5
2026-08-11,65.0,57.5
2026-08-12,65.0,57.5
2026-08-13,65.0,57.5
2026-08-14,65.0,57.5
2026-08-17,62.5,57.5
2026-08-18,62.5,57.5
2026-08-19,65.0,57.5
2026-08-20,65.0,57.5
2026-08-21,65.0,57.5
2026-08-24,67.5,55.0
2026-08-25,62.5,55.0
2026-08-26,62.5,55.0
2026-08-27,62.5,64.0
2026-08-28,62.5,64.0
2026-08-31,62.5,64.0
2026-09-01,62.5,55.0
2026-09-02,62.5,64.0
2026-09-03,62.5,55.0
2026-09-04,62.5,62.0
2026-09-07,62.5,62.0
2026-09-08,62.5,62.0
2026-09-09,62.5,62.0
2026-09-10,62.5,62.0
2026-09-11,62.5,62.0
2026-09-14,62.5,55.0
2026-09-15,62.5,60.0
2026-09-16,62.5,60.0
2026-09-17,62.5,60.0
2026-09-18,62.5,60.0
2026-09-21,65.0,60.0
2026-09-22,65.0,60.0
2026-09-23,65.0,60.0
2026-09-24,65.0,60.0
