Date,CallWall,PutWall
2026-06-26,81.0,75.0
2026-06-29,82.5,75.0
2026-06-30,82.5,75.0
2026-07-01,82.5,75.0
2026-07-02,83.0,79.0
2026-07-06,85.0,79.0
2026-07-07,85.0,82.0
2026-07-08,80.0,82.0
2026-07-09,85.0,82.0
2026-07-10,85.0,75.0
2026-07-13,85.0,75.0
2026-07-14,80.0,79.0
2026-07-15,80.0,75.0
2026-07-16,85.0,75.0
2026-07-17,84.0,82.5
2026-07-20,85.0,83.0
2026-07-21,85.0,83.0
2026-07-22,85.0,83.0
2026-07-23,85.0,83.0
2026-07-24,85.0,81.0
2026-07-27,85.0,75.0
2026-07-28,85.0,75.0
2026-07-29,88.0,83.0
2026-07-30,88.0,83.0
2026-07-31,88.0,83.0
2026-08-03,87.5,83.0
2026-08-04,87.5,83.0
2026-08-05,88.0,83.0
2026-08-06,88.0,83.0
2026-08-07,88.0,86.0
2026-08-10,87.5,83.0
2026-08-11,90.0,84.0
2026-08-12,90.0,82.5
2026-08-13,90.0,83.0
2026-08-14,100.0,75.0
2026-08-17,90.0,75.0
2026-08-18,100.0,75.0
2026-08-19,100.0,75.0
2026-08-20,100.0,75.0
2026-08-21,100.0,75.0
2026-08-24,100.0,75.0
2026-08-25,100.0,75.0
2026-08-26,100.0,75.0
2026-08-27,100.0,89.0
2026-08-28,100.0,87.0
2026-08-31,100.0,87.0
2026-09-01,100.0,89.0
2026-09-02,95.0,90.0
2026-09-03,95.0,89.0
2026-09-04,95.0,89.0
2026-09-07,95.0,92.5
2026-09-08,95.0,89.0
2026-09-09,95.0,91.0
2026-09-10,95.0,92.0
2026-09-11,95.0,89.0
2026-09-14,95.0,92.0
2026-09-15,95.0,92.0
2026-09-16,95.0,92.0
2026-09-17,95.0,92.0
2026-09-18,92.5,92.0
2026-09-21,95.0,90.0
2026-09-22,95.0,90.0
2026-09-23,95.0,90.0
2026-09-24,95.0,87.0
