Date,CallWall,PutWall
2026-06-26,557.5,550.0
2026-06-29,567.5,550.0
2026-06-30,570.0,550.0
2026-07-01,600.0,550.0
2026-07-02,650.0,550.0
2026-07-06,600.0,550.0
2026-07-07,650.0,550.0
2026-07-08,650.0,595.0
2026-07-09,650.0,580.0
2026-07-10,650.0,550.0
2026-07-13,700.0,550.0
2026-07-14,700.0,550.0
2026-07-15,700.0,550.0
2026-07-16,700.0,652.5
2026-07-17,650.0,647.5
2026-07-20,650.0,550.0
2026-07-21,700.0,550.0
2026-07-22,700.0,620.0
2026-07-23,700.0,550.0
2026-07-24,600.0,597.5
2026-07-27,700.0,595.0
2026-07-28,700.0,550.0
2026-07-29,700.0,550.0
2026-07-30,700.0,550.0
2026-07-31,555.0,550.0
2026-08-03,590.0,550.0
2026-08-04,600.0,560.0
2026-08-05,600.0,580.0
2026-08-06,600.0,550.0
2026-08-07,600.0,550.0
2026-08-10,600.0,597.5
2026-08-11,620.0,602.5
2026-08-12,600.0,580.0
2026-08-13,600.0,580.0
2026-08-14,590.0,550.0
2026-08-17,600.0,550.0
2026-08-18,595.0,550.0
2026-08-19,600.0,550.0
2026-08-20,595.0,540.0
2026-08-21,595.0,550.0
2026-08-24,595.0,540.0
2026-08-25,595.0,550.0
2026-08-26,580.0,550.0
2026-08-27,600.0,550.0
2026-08-28,580.0,550.0
2026-08-31,580.0,550.0
2026-09-01,600.0,550.0
2026-09-02,600.0,550.0
2026-09-03,615.0,550.0
2026-09-04,615.0,550.0
2026-09-08,620.0,550.0
2026-09-09,650.0,550.0
2026-09-10,650.0,615.0
2026-09-11,650.0,580.0
2026-09-14,700.0,550.0
2026-09-15,700.0,550.0
2026-09-16,680.0,672.5
2026-09-17,700.0,652.5
2026-09-18,670.0,672.5
2026-09-21,700.0,652.5
2026-09-22,750.0,707.5
2026-09-23,750.0,747.5
2026-09-24,800.0,747.5
