Date,CallWall,PutWall
2026-06-26,47.5,46.0
2026-06-29,50.0,43.0
2026-06-30,50.0,43.0
2026-07-01,50.0,47.0
2026-07-02,48.0,46.5
2026-07-06,48.0,43.0
2026-07-07,48.0,43.0
2026-07-08,50.0,43.0
2026-07-09,47.5,43.0
2026-07-10,50.0,47.0
2026-07-13,50.0,43.0
2026-07-14,50.0,45.5
2026-07-15,50.0,45.5
2026-07-16,50.0,45.5
2026-07-17,50.0,45.5
2026-07-20,50.0,45.5
2026-07-21,50.0,45.5
2026-07-22,50.0,45.5
2026-07-23,50.0,45.5
2026-07-24,50.0,45.0
2026-07-27,46.0,45.5
2026-07-28,50.0,43.0
2026-07-29,46.0,43.0
2026-07-30,46.0,45.5
2026-07-31,46.0,45.5
2026-08-03,44.5,40.0
2026-08-04,45.0,40.0
2026-08-05,45.0,43.0
2026-08-06,45.0,40.0
2026-08-07,45.0,43.5
2026-08-10,44.0,43.0
2026-08-11,44.0,43.0
2026-08-12,44.0,43.0
2026-08-13,45.0,43.0
2026-08-14,47.0,43.0
2026-08-17,47.0,44.0
2026-08-18,47.0,44.0
2026-08-19,47.0,43.0
2026-08-20,47.0,43.0
2026-08-21,47.0,43.0
2026-08-24,47.0,43.0
2026-08-25,47.0,43.0
2026-08-26,47.0,43.0
2026-08-27,47.0,43.0
2026-08-28,40.0,43.0
2026-08-31,40.0,43.0
2026-09-01,40.0,43.0
2026-09-02,40.0,43.0
2026-09-03,40.0,43.0
2026-09-04,40.0,41.0
2026-09-07,40.0,41.0
2026-09-08,40.0,41.0
2026-09-09,40.0,41.0
2026-09-10,40.0,41.0
2026-09-11,40.0,41.0
2026-09-14,40.0,39.0
2026-09-15,40.0,39.0
2026-09-16,40.0,39.0
2026-09-17,40.0,39.0
2026-09-18,40.0,39.0
2026-09-21,40.0,39.0
2026-09-22,40.0,39.0
2026-09-23,40.0,39.0
2026-09-24,40.0,36.0
