Date,CallWall,PutWall
2026-06-26,630.0,580.0
2026-06-29,630.0,580.0
2026-06-30,600.0,580.0
2026-07-01,600.0,580.0
2026-07-02,600.0,580.0
2026-07-06,600.0,590.0
2026-07-07,600.0,590.0
2026-07-08,600.0,580.0
2026-07-09,600.0,580.0
2026-07-10,600.0,580.0
2026-07-13,600.0,570.0
2026-07-14,600.0,580.0
2026-07-15,600.0,570.0
2026-07-16,600.0,580.0
2026-07-17,600.0,550.0
2026-07-20,610.0,540.0
2026-07-21,620.0,540.0
2026-07-22,620.0,540.0
2026-07-23,620.0,540.0
2026-07-24,620.0,540.0
2026-07-27,620.0,540.0
2026-07-28,620.0,540.0
2026-07-29,620.0,550.0
2026-07-30,620.0,550.0
2026-07-31,620.0,550.0
2026-08-03,580.0,550.0
2026-08-04,580.0,550.0
2026-08-05,580.0,550.0
2026-08-06,580.0,550.0
2026-08-07,580.0,550.0
2026-08-10,580.0,550.0
2026-08-11,580.0,550.0
2026-08-12,580.0,550.0
2026-08-13,580.0,550.0
2026-08-14,560.0,550.0
2026-08-17,560.0,550.0
2026-08-18,560.0,530.0
2026-08-19,560.0,530.0
2026-08-20,560.0,530.0
2026-08-21,560.0,530.0
2026-08-24,560.0,510.0
2026-08-25,560.0,520.0
2026-08-26,560.0,520.0
2026-08-27,560.0,520.0
2026-08-28,560.0,520.0
2026-08-31,560.0,520.0
2026-09-01,560.0,520.0
2026-09-02,560.0,520.0
2026-09-03,560.0,520.0
2026-09-04,560.0,520.0
2026-09-07,560.0,520.0
2026-09-08,560.0,520.0
2026-09-09,560.0,510.0
2026-09-10,500.0,510.0
2026-09-11,530.0,540.0
2026-09-14,470.0,490.0
2026-09-15,530.0,540.0
2026-09-16,500.0,540.0
2026-09-17,500.0,490.0
2026-09-18,500.0,490.0
2026-09-21,500.0,540.0
2026-09-22,500.0,540.0
2026-09-23,500.0,540.0
2026-09-24,500.0,490.0
