Date,CallWall,PutWall
2026-06-26,160.0,157.5
2026-06-29,162.5,165.0
2026-06-30,162.5,157.5
2026-07-01,165.0,157.5
2026-07-02,162.5,157.5
2026-07-06,165.0,157.5
2026-07-07,165.0,157.5
2026-07-08,160.0,157.5
2026-07-09,160.0,157.5
2026-07-10,160.0,157.5
2026-07-13,160.0,155.0
2026-07-14,170.0,155.0
2026-07-15,165.0,155.0
2026-07-16,165.0,162.5
2026-07-17,160.0,157.5
2026-07-20,170.0,157.5
2026-07-21,170.0,150.0
2026-07-22,172.5,160.0
2026-07-23,172.5,155.0
2026-07-24,172.5,157.5
2026-07-27,170.0,167.5
2026-07-28,190.0,172.5
2026-07-29,180.0,177.5
2026-07-30,180.0,177.5
2026-07-31,170.0,175.0
2026-08-03,170.0,172.5
2026-08-04,180.0,172.5
2026-08-05,180.0,172.5
2026-08-06,180.0,172.5
2026-08-07,180.0,172.5
2026-08-10,180.0,172.5
2026-08-11,180.0,172.5
2026-08-12,180.0,172.5
2026-08-13,180.0,172.5
2026-08-14,190.0,182.5
2026-08-17,190.0,182.5
2026-08-18,180.0,182.5
2026-08-19,190.0,182.5
2026-08-20,180.0,177.5
2026-08-21,180.0,160.0
2026-08-24,190.0,180.0
2026-08-25,190.0,180.0
2026-08-26,190.0,180.0
2026-08-27,190.0,175.0
2026-08-28,190.0,175.0
2026-08-31,190.0,175.0
2026-09-01,190.0,172.5
2026-09-02,190.0,160.0
2026-09-03,190.0,172.5
2026-09-04,190.0,160.0
2026-09-07,190.0,160.0
2026-09-08,190.0,160.0
2026-09-09,172.5,160.0
2026-09-10,172.5,160.0
2026-09-11,170.0,165.0
2026-09-14,170.0,160.0
2026-09-15,170.0,160.0
2026-09-16,170.0,160.0
2026-09-17,170.0,160.0
2026-09-18,170.0,160.0
2026-09-21,170.0,165.0
2026-09-22,170.0,165.0
2026-09-23,170.0,165.0
2026-09-24,175.0,165.0
