Date,CallWall,PutWall
2026-06-26,50.0,43.75
2026-06-29,47.5,43.75
2026-06-30,47.5,43.75
2026-07-01,47.5,43.75
2026-07-02,47.5,43.75
2026-07-06,47.5,45.0
2026-07-07,47.5,43.75
2026-07-08,47.5,43.75
2026-07-09,47.5,43.75
2026-07-10,47.5,46.25
2026-07-13,47.5,46.25
2026-07-14,47.5,42.5
2026-07-15,50.0,42.5
2026-07-16,50.0,46.25
2026-07-17,48.75,47.5
2026-07-20,45.0,46.25
2026-07-21,45.0,42.5
2026-07-22,45.0,42.5
2026-07-23,45.0,42.5
2026-07-24,45.0,42.5
2026-07-27,45.0,46.25
2026-07-28,52.5,46.25
2026-07-29,52.5,46.25
2026-07-30,52.5,46.25
2026-07-31,52.5,46.25
2026-08-03,45.0,46.25
2026-08-04,45.0,42.5
2026-08-05,45.0,48.75
2026-08-06,45.0,42.5
2026-08-07,45.0,46.25
2026-08-10,45.0,46.25
2026-08-11,45.0,46.25
2026-08-12,47.5,46.25
2026-08-13,47.5,46.25
2026-08-14,47.5,46.25
2026-08-17,47.5,46.25
2026-08-18,47.5,46.25
2026-08-19,47.5,46.25
2026-08-20,47.5,46.25
2026-08-21,48.75,46.25
2026-08-24,48.75,46.25
2026-08-25,48.75,46.25
2026-08-26,48.75,46.25
2026-08-27,48.75,46.25
2026-08-28,48.75,46.25
2026-08-31,48.75,46.25
2026-09-01,48.75,46.25
2026-09-02,48.75,43.75
2026-09-03,48.75,46.25
2026-09-04,48.75,46.25
2026-09-07,48.75,41.25
2026-09-08,48.75,41.25
2026-09-09,48.75,38.75
2026-09-10,48.75,38.75
2026-09-11,48.75,46.25
2026-09-14,48.75,38.75
2026-09-15,48.75,46.25
2026-09-16,45.0,41.25
2026-09-17,45.0,42.5
2026-09-18,45.0,43.75
2026-09-21,48.0,43.0
2026-09-22,48.0,43.0
2026-09-23,48.0,43.0
2026-09-24,48.0,43.0
