Date,CallWall,PutWall
2026-06-26,74.0,67.5
2026-06-29,74.0,67.5
2026-06-30,74.0,73.0
2026-07-01,74.0,67.5
2026-07-02,74.0,67.5
2026-07-06,74.0,67.5
2026-07-07,74.0,71.0
2026-07-08,74.0,71.0
2026-07-09,74.0,71.0
2026-07-10,74.0,70.0
2026-07-13,74.0,70.0
2026-07-14,74.0,70.0
2026-07-15,74.0,70.0
2026-07-16,74.0,67.5
2026-07-17,74.0,70.0
2026-07-20,75.0,70.0
2026-07-21,75.0,70.0
2026-07-22,75.0,70.0
2026-07-23,75.0,70.0
2026-07-24,75.0,72.0
2026-07-27,75.0,73.0
2026-07-28,75.0,73.0
2026-07-29,75.0,73.0
2026-07-30,75.0,70.0
2026-07-31,70.0,68.0
2026-08-03,70.0,71.0
2026-08-04,70.0,71.0
2026-08-05,70.0,71.0
2026-08-06,70.0,67.0
2026-08-07,70.0,67.0
2026-08-10,70.0,65.0
2026-08-11,70.0,65.0
2026-08-12,70.0,65.0
2026-08-13,70.0,65.0
2026-08-14,70.0,65.0
2026-08-17,70.0,62.5
2026-08-18,70.0,62.5
2026-08-19,70.0,62.5
2026-08-20,70.0,62.5
2026-08-21,70.0,65.0
2026-08-24,70.0,62.5
2026-08-25,70.0,62.5
2026-08-26,70.0,67.5
2026-08-27,70.0,62.5
2026-08-28,70.0,62.5
2026-08-31,70.0,67.5
2026-09-01,70.0,67.5
2026-09-02,70.0,67.5
2026-09-03,70.0,67.5
2026-09-04,70.0,65.0
2026-09-07,70.0,65.0
2026-09-08,70.0,65.0
2026-09-09,70.0,68.0
2026-09-10,70.0,68.0
2026-09-11,70.0,65.0
2026-09-14,70.0,67.5
2026-09-15,71.0,67.5
2026-09-16,72.5,67.5
2026-09-17,71.0,67.5
2026-09-18,70.0,67.5
2026-09-21,71.0,68.0
2026-09-22,71.0,68.0
2026-09-23,70.0,68.0
2026-09-24,71.0,68.0
