Date,CallWall,PutWall
2026-06-26,25.0,21.0
2026-06-29,25.0,22.0
2026-06-30,25.0,22.0
2026-07-01,25.0,21.0
2026-07-02,25.0,21.0
2026-07-06,25.0,22.0
2026-07-07,25.0,21.0
2026-07-08,25.0,21.0
2026-07-09,25.0,21.0
2026-07-10,25.0,21.0
2026-07-13,25.0,22.0
2026-07-14,25.0,22.0
2026-07-15,23.0,22.0
2026-07-16,23.0,22.0
2026-07-17,23.0,22.0
2026-07-20,25.0,22.0
2026-07-21,23.0,22.0
2026-07-22,23.0,22.0
2026-07-23,23.0,22.0
2026-07-24,23.0,22.0
2026-07-27,25.0,22.0
2026-07-28,25.0,22.0
2026-07-29,25.0,21.0
2026-07-30,23.0,21.0
2026-07-31,25.0,21.0
2026-08-03,25.0,21.0
2026-08-04,25.0,21.5
2026-08-05,25.0,21.0
2026-08-06,25.0,21.0
2026-08-07,23.0,21.0
2026-08-10,25.0,22.0
2026-08-11,25.0,22.0
2026-08-12,25.0,22.0
2026-08-13,25.0,22.0
2026-08-14,24.0,20.0
2026-08-17,24.0,20.0
2026-08-18,24.0,21.0
2026-08-19,25.0,21.0
2026-08-20,25.0,20.0
2026-08-21,25.0,20.0
2026-08-24,26.0,20.0
2026-08-25,26.0,22.5
2026-08-26,26.0,22.5
2026-08-27,26.0,22.5
2026-08-28,26.0,22.5
2026-08-31,26.0,22.5
2026-09-01,25.0,22.5
2026-09-02,26.0,22.5
2026-09-03,25.0,22.5
2026-09-04,26.0,22.5
2026-09-07,26.0,22.5
2026-09-08,26.0,24.0
2026-09-09,26.0,24.0
2026-09-10,26.0,24.0
2026-09-11,26.0,24.0
2026-09-14,26.0,22.5
2026-09-15,26.0,22.5
2026-09-16,25.0,22.5
2026-09-17,26.0,22.5
2026-09-18,26.0,22.5
2026-09-21,25.0,24.5
2026-09-22,25.0,24.5
2026-09-23,25.0,24.5
2026-09-24,25.0,23.5
