Date,CallWall,PutWall
2026-06-26,65.0,54.0
2026-06-29,65.0,54.0
2026-06-30,60.0,50.0
2026-07-01,56.0,50.0
2026-07-02,56.0,53.0
2026-07-06,65.0,55.0
2026-07-07,59.0,50.0
2026-07-08,59.0,50.0
2026-07-09,65.0,50.0
2026-07-10,65.0,52.0
2026-07-13,65.0,45.0
2026-07-14,60.0,50.0
2026-07-15,55.0,50.0
2026-07-16,60.0,45.0
2026-07-17,55.0,45.0
2026-07-20,55.0,45.0
2026-07-21,50.0,45.0
2026-07-22,50.0,45.0
2026-07-23,50.0,45.0
2026-07-24,50.0,41.5
2026-07-27,55.0,40.0
2026-07-28,50.0,40.0
2026-07-29,50.0,40.0
2026-07-30,50.0,40.0
2026-07-31,50.0,40.0
2026-08-03,50.0,44.0
2026-08-04,50.0,44.0
2026-08-05,50.0,44.0
2026-08-06,50.0,44.0
2026-08-07,50.0,48.0
2026-08-10,55.0,45.0
2026-08-11,55.0,45.0
2026-08-12,55.0,45.0
2026-08-13,55.0,45.0
2026-08-14,60.0,45.0
2026-08-17,60.0,55.0
2026-08-18,60.0,55.0
2026-08-19,60.0,55.0
2026-08-20,53.0,55.0
2026-08-21,60.0,55.0
2026-08-24,60.0,55.0
2026-08-25,60.0,55.0
2026-08-26,60.0,55.0
2026-08-27,60.0,55.0
2026-08-28,60.0,55.0
2026-08-31,60.0,55.0
2026-09-01,60.0,55.0
2026-09-02,60.0,55.0
2026-09-03,60.0,50.0
2026-09-04,60.0,50.0
2026-09-07,60.0,55.0
2026-09-08,60.0,55.0
2026-09-09,60.0,55.0
2026-09-10,60.0,50.0
2026-09-11,60.0,50.0
2026-09-14,60.0,50.0
2026-09-15,60.0,50.0
2026-09-16,60.0,50.0
2026-09-17,60.0,50.0
2026-09-18,60.0,45.0
2026-09-21,52.0,45.0
2026-09-22,52.0,45.0
2026-09-23,52.0,47.0
2026-09-24,52.0,47.0
