Date,CallWall,PutWall
2026-06-26,270.0,230.0
2026-06-29,270.0,230.0
2026-06-30,270.0,230.0
2026-07-01,270.0,230.0
2026-07-02,270.0,230.0
2026-07-06,270.0,230.0
2026-07-07,270.0,230.0
2026-07-08,270.0,240.0
2026-07-09,280.0,230.0
2026-07-10,280.0,230.0
2026-07-13,290.0,230.0
2026-07-14,300.0,230.0
2026-07-15,300.0,230.0
2026-07-16,310.0,230.0
2026-07-17,310.0,230.0
2026-07-20,320.0,210.0
2026-07-21,320.0,270.0
2026-07-22,330.0,270.0
2026-07-23,340.0,270.0
2026-07-24,340.0,270.0
2026-07-27,340.0,270.0
2026-07-28,310.0,270.0
2026-07-29,310.0,270.0
2026-07-30,340.0,270.0
2026-07-31,340.0,270.0
2026-08-03,310.0,270.0
2026-08-04,330.0,270.0
2026-08-05,310.0,270.0
2026-08-06,310.0,270.0
2026-08-07,310.0,270.0
2026-08-10,330.0,210.0
2026-08-11,330.0,270.0
2026-08-12,340.0,300.0
2026-08-13,350.0,310.0
2026-08-14,350.0,260.0
2026-08-17,380.0,260.0
2026-08-18,380.0,290.0
2026-08-19,380.0,340.0
2026-08-20,380.0,340.0
2026-08-21,370.0,340.0
2026-08-24,390.0,340.0
2026-08-25,370.0,340.0
2026-08-26,370.0,340.0
2026-08-27,370.0,340.0
2026-08-28,370.0,340.0
2026-08-31,370.0,340.0
2026-09-01,370.0,340.0
2026-09-02,370.0,340.0
2026-09-03,370.0,340.0
2026-09-04,370.0,360.0
2026-09-07,400.0,360.0
2026-09-08,370.0,360.0
2026-09-09,410.0,340.0
2026-09-10,410.0,360.0
2026-09-11,410.0,390.0
2026-09-14,410.0,390.0
2026-09-15,410.0,390.0
2026-09-16,410.0,390.0
2026-09-17,410.0,390.0
2026-09-18,420.0,390.0
2026-09-21,440.0,380.0
2026-09-22,440.0,340.0
2026-09-23,440.0,340.0
2026-09-24,440.0,340.0
