Date,CallWall,PutWall
2026-06-26,130.0,100.0
2026-06-29,130.0,122.0
2026-06-30,130.0,127.0
2026-07-01,125.0,126.0
2026-07-02,130.0,127.0
2026-07-06,130.0,122.0
2026-07-07,130.0,126.0
2026-07-08,130.0,122.0
2026-07-09,125.0,122.0
2026-07-10,125.0,123.0
2026-07-13,125.0,122.0
2026-07-14,125.0,122.0
2026-07-15,125.0,122.0
2026-07-16,130.0,122.0
2026-07-17,130.0,122.0
2026-07-20,130.0,120.0
2026-07-21,130.0,120.0
2026-07-22,130.0,120.0
2026-07-23,132.0,120.0
2026-07-24,132.0,120.0
2026-07-27,140.0,120.0
2026-07-28,140.0,120.0
2026-07-29,140.0,120.0
2026-07-30,140.0,120.0
2026-07-31,140.0,129.0
2026-08-03,140.0,120.0
2026-08-04,130.0,120.0
2026-08-05,130.0,120.0
2026-08-06,130.0,127.0
2026-08-07,135.0,127.0
2026-08-10,130.0,128.0
2026-08-11,130.0,128.0
2026-08-12,135.0,128.0
2026-08-13,135.0,128.0
2026-08-14,135.0,133.0
2026-08-17,135.0,133.0
2026-08-18,135.0,133.0
2026-08-19,145.0,105.0
2026-08-20,150.0,148.0
2026-08-21,155.0,148.0
2026-08-24,165.0,148.0
2026-08-25,165.0,148.0
2026-08-26,165.0,148.0
2026-08-27,165.0,148.0
2026-08-28,165.0,148.0
2026-08-31,165.0,146.0
2026-09-01,165.0,146.0
2026-09-02,165.0,146.0
2026-09-03,165.0,146.0
2026-09-04,150.0,149.0
2026-09-07,165.0,145.0
2026-09-08,165.0,146.0
2026-09-09,145.0,146.0
2026-09-10,140.0,147.0
2026-09-11,140.0,144.0
2026-09-14,145.0,146.0
2026-09-15,145.0,142.0
2026-09-16,145.0,146.0
2026-09-17,145.0,146.0
2026-09-18,150.0,145.0
2026-09-21,155.0,148.0
2026-09-22,155.0,148.0
2026-09-23,155.0,148.0
2026-09-24,155.0,148.0
