Date,CallWall,PutWall
2026-06-26,65.0,55.0
2026-06-29,70.0,55.0
2026-06-30,70.0,55.0
2026-07-01,72.0,55.0
2026-07-02,75.0,55.0
2026-07-06,85.0,55.0
2026-07-07,85.0,76.0
2026-07-08,80.0,72.0
2026-07-09,77.0,72.0
2026-07-10,70.0,55.0
2026-07-13,70.0,55.0
2026-07-14,70.0,55.0
2026-07-15,70.0,55.0
2026-07-16,70.0,55.0
2026-07-17,70.0,55.0
2026-07-20,64.0,55.0
2026-07-21,64.0,55.0
2026-07-22,64.0,55.0
2026-07-23,63.0,55.0
2026-07-24,60.0,55.0
2026-07-27,60.0,50.0
2026-07-28,60.0,50.0
2026-07-29,60.0,50.0
2026-07-30,60.0,50.0
2026-07-31,55.0,50.0
2026-08-03,59.0,55.0
2026-08-04,59.0,55.0
2026-08-05,59.0,55.0
2026-08-06,59.0,55.0
2026-08-07,59.0,55.0
2026-08-10,56.0,55.0
2026-08-11,60.0,55.0
2026-08-12,62.0,55.0
2026-08-13,62.0,55.0
2026-08-14,64.0,55.0
2026-08-17,64.0,55.0
2026-08-18,64.0,55.0
2026-08-19,120.0,110.0
2026-08-20,150.0,120.0
2026-08-21,150.0,140.0
2026-08-24,150.0,120.0
2026-08-25,150.0,120.0
2026-08-26,180.0,120.0
2026-08-27,150.0,120.0
2026-08-28,135.0,120.0
2026-08-31,139.0,120.0
2026-09-01,146.0,120.0
2026-09-02,146.0,120.0
2026-09-03,146.0,120.0
2026-09-04,146.0,120.0
2026-09-07,170.0,120.0
2026-09-08,155.0,120.0
2026-09-09,148.0,120.0
2026-09-10,148.0,130.0
2026-09-11,148.0,130.0
2026-09-14,165.0,130.0
2026-09-15,150.0,130.0
2026-09-16,150.0,130.0
2026-09-17,160.0,120.0
2026-09-18,157.5,150.0
2026-09-21,165.0,140.0
2026-09-22,200.0,140.0
2026-09-23,190.0,160.0
2026-09-24,190.0,140.0
