Date,CallWall,PutWall
2026-06-26,400.0,367.5
2026-06-29,400.0,350.0
2026-06-30,375.0,350.0
2026-07-01,385.0,360.0
2026-07-02,390.0,370.0
2026-07-06,400.0,370.0
2026-07-07,400.0,370.0
2026-07-08,400.0,382.5
2026-07-09,400.0,370.0
2026-07-10,385.0,370.0
2026-07-13,400.0,350.0
2026-07-14,400.0,370.0
2026-07-15,390.0,350.0
2026-07-16,400.0,380.0
2026-07-17,395.0,350.0
2026-07-20,400.0,360.0
2026-07-21,400.0,360.0
2026-07-22,400.0,385.0
2026-07-23,390.0,380.0
2026-07-24,390.0,385.0
2026-07-27,395.0,350.0
2026-07-28,460.0,360.0
2026-07-29,460.0,380.0
2026-07-30,460.0,360.0
2026-07-31,460.0,442.5
2026-08-03,500.0,442.5
2026-08-04,500.0,485.0
2026-08-05,500.0,485.0
2026-08-06,500.0,447.5
2026-08-07,500.0,447.5
2026-08-10,500.0,497.5
2026-08-11,500.0,507.5
2026-08-12,500.0,492.5
2026-08-13,500.0,495.0
2026-08-14,500.0,495.0
2026-08-17,500.0,482.5
2026-08-18,480.0,475.0
2026-08-19,480.0,475.0
2026-08-20,480.0,475.0
2026-08-21,480.0,475.0
2026-08-24,500.0,475.0
2026-08-25,500.0,475.0
2026-08-26,500.0,475.0
2026-08-27,500.0,475.0
2026-08-28,515.0,475.0
2026-08-31,525.0,507.5
2026-09-01,525.0,497.5
2026-09-02,510.0,495.0
2026-09-03,525.0,492.5
2026-09-04,525.0,500.0
2026-09-08,510.0,487.5
2026-09-09,500.0,492.5
2026-09-10,500.0,485.0
2026-09-11,510.0,485.0
2026-09-14,510.0,485.0
2026-09-15,510.0,485.0
2026-09-16,510.0,495.0
2026-09-17,500.0,485.0
2026-09-18,500.0,490.0
2026-09-21,510.0,485.0
2026-09-22,510.0,497.5
2026-09-23,510.0,497.5
2026-09-24,510.0,490.0
