Date,CallWall,PutWall
2026-06-26,37.5,32.5
2026-06-29,37.5,32.5
2026-06-30,37.5,35.0
2026-07-01,37.5,35.0
2026-07-02,37.5,35.0
2026-07-06,37.5,35.0
2026-07-07,37.5,32.5
2026-07-08,37.5,32.5
2026-07-09,37.5,35.0
2026-07-10,37.5,32.5
2026-07-13,37.5,35.0
2026-07-14,37.5,35.0
2026-07-15,40.0,35.0
2026-07-16,40.0,32.5
2026-07-17,40.0,32.5
2026-07-20,42.5,35.0
2026-07-21,42.5,35.0
2026-07-22,42.5,35.0
2026-07-23,42.5,35.0
2026-07-24,42.5,35.0
2026-07-27,42.5,35.0
2026-07-28,42.5,35.0
2026-07-29,42.5,35.0
2026-07-30,42.5,35.0
2026-07-31,42.5,35.0
2026-08-03,42.5,35.0
2026-08-04,42.5,35.0
2026-08-05,42.5,35.0
2026-08-06,42.5,35.0
2026-08-07,42.5,35.0
2026-08-10,42.5,35.0
2026-08-11,42.5,35.0
2026-08-12,42.5,35.0
2026-08-13,42.5,35.0
2026-08-14,37.5,35.0
2026-08-17,37.5,35.0
2026-08-18,40.0,35.0
2026-08-19,40.0,35.0
2026-08-20,40.0,35.0
2026-08-21,40.0,35.0
2026-08-24,40.0,27.5
2026-08-25,40.0,27.5
2026-08-26,40.0,27.5
2026-08-27,40.0,27.5
2026-08-28,40.0,27.5
2026-08-31,40.0,27.5
2026-09-01,40.0,37.5
2026-09-02,40.0,37.5
2026-09-03,45.0,37.5
2026-09-04,40.0,27.5
2026-09-08,40.0,27.5
2026-09-09,40.0,27.5
2026-09-10,40.0,37.5
2026-09-11,45.0,37.5
2026-09-14,45.0,30.0
2026-09-15,45.0,37.5
2026-09-16,45.0,32.5
2026-09-17,45.0,42.5
2026-09-18,45.0,37.5
2026-09-21,45.0,40.0
2026-09-22,45.0,40.0
2026-09-23,45.0,40.0
2026-09-24,42.5,40.0
