Date,CallWall,PutWall
2026-06-26,1200.0,1100.0
2026-06-29,1300.0,1000.0
2026-06-30,1200.0,1000.0
2026-07-01,1200.0,1000.0
2026-07-02,1200.0,950.0
2026-07-06,1200.0,900.0
2026-07-07,1100.0,900.0
2026-07-08,980.0,900.0
2026-07-09,1000.0,900.0
2026-07-10,1000.0,990.0
2026-07-13,1200.0,920.0
2026-07-14,1200.0,900.0
2026-07-15,1100.0,900.0
2026-07-16,1100.0,815.0
2026-07-17,900.0,880.0
2026-07-20,880.0,800.0
2026-07-21,1000.0,800.0
2026-07-22,1000.0,800.0
2026-07-23,1000.0,850.0
2026-07-24,915.0,900.0
2026-07-27,1100.0,800.0
2026-07-28,1100.0,800.0
2026-07-29,950.0,800.0
2026-07-30,900.0,815.0
2026-07-31,830.0,820.0
2026-08-03,835.0,800.0
2026-08-04,900.0,800.0
2026-08-05,900.0,800.0
2026-08-06,900.0,800.0
2026-08-07,900.0,870.0
2026-08-10,880.0,870.0
2026-08-11,880.0,800.0
2026-08-12,900.0,850.0
2026-08-13,1000.0,850.0
2026-08-14,960.0,965.0
2026-08-17,1000.0,800.0
2026-08-18,1000.0,900.0
2026-08-19,1000.0,930.0
2026-08-20,1000.0,900.0
2026-08-21,970.0,920.0
2026-08-24,1000.0,910.0
2026-08-25,1000.0,850.0
2026-08-26,950.0,925.0
2026-08-27,1000.0,850.0
2026-08-28,940.0,925.0
2026-08-31,950.0,850.0
2026-09-01,1000.0,900.0
2026-09-02,950.0,940.0
2026-09-03,1000.0,900.0
2026-09-04,1000.0,920.0
2026-09-08,1000.0,920.0
2026-09-09,1030.0,995.0
2026-09-10,1050.0,990.0
2026-09-11,1000.0,975.0
2026-09-14,1000.0,930.0
2026-09-15,1000.0,900.0
2026-09-16,1000.0,900.0
2026-09-17,1000.0,900.0
2026-09-18,1000.0,970.0
2026-09-21,1050.0,970.0
2026-09-22,1100.0,1035.0
2026-09-23,1100.0,1075.0
2026-09-24,1100.0,1040.0
