Date,CallWall,PutWall
2026-06-26,40.0,32.5
2026-06-29,40.0,32.5
2026-06-30,40.0,32.5
2026-07-01,40.0,32.5
2026-07-02,40.0,32.5
2026-07-06,40.0,32.5
2026-07-07,40.0,32.5
2026-07-08,40.0,32.5
2026-07-09,40.0,32.5
2026-07-10,40.0,27.5
2026-07-13,40.0,27.5
2026-07-14,40.0,27.5
2026-07-15,40.0,27.5
2026-07-16,40.0,27.5
2026-07-17,40.0,27.5
2026-07-20,37.5,30.0
2026-07-21,37.5,30.0
2026-07-22,37.5,30.0
2026-07-23,37.5,30.0
2026-07-24,37.5,30.0
2026-07-27,37.5,30.0
2026-07-28,37.5,30.0
2026-07-29,37.5,27.5
2026-07-30,37.5,27.5
2026-07-31,37.5,32.5
2026-08-03,37.5,27.5
2026-08-04,37.5,30.0
2026-08-05,37.5,27.5
2026-08-06,37.5,30.0
2026-08-07,37.5,30.0
2026-08-10,37.5,32.5
2026-08-11,37.5,32.5
2026-08-12,37.5,27.5
2026-08-13,37.5,32.5
2026-08-14,37.5,32.5
2026-08-17,37.5,32.5
2026-08-18,37.5,32.5
2026-08-19,37.5,32.5
2026-08-20,37.5,32.5
2026-08-21,37.5,32.5
2026-08-24,45.0,32.5
2026-08-25,45.0,32.5
2026-08-26,45.0,32.5
2026-08-27,40.0,32.5
2026-08-28,40.0,32.5
2026-08-31,40.0,32.5
2026-09-01,40.0,32.5
2026-09-02,40.0,32.5
2026-09-03,40.0,32.5
2026-09-04,40.0,32.5
2026-09-07,40.0,32.5
2026-09-08,40.0,32.5
2026-09-09,40.0,32.5
2026-09-10,40.0,32.5
2026-09-11,40.0,30.0
2026-09-14,40.0,30.0
2026-09-15,40.0,30.0
2026-09-16,40.0,30.0
2026-09-17,40.0,30.0
2026-09-18,40.0,30.0
2026-09-21,40.0,37.5
2026-09-22,40.0,37.5
2026-09-23,40.0,37.5
2026-09-24,40.0,37.5
