Date,CallWall,PutWall
2026-06-26,88.0,85.0
2026-06-29,90.0,85.0
2026-06-30,90.0,85.0
2026-07-01,90.0,85.0
2026-07-02,88.0,85.0
2026-07-06,90.0,85.0
2026-07-07,90.0,85.0
2026-07-08,90.0,85.0
2026-07-09,90.0,85.0
2026-07-10,90.0,85.0
2026-07-13,90.0,85.0
2026-07-14,90.0,85.0
2026-07-15,90.0,85.0
2026-07-16,90.0,85.0
2026-07-17,89.0,87.5
2026-07-20,90.0,86.0
2026-07-21,90.0,86.0
2026-07-22,90.0,86.0
2026-07-23,94.0,86.0
2026-07-24,90.0,88.0
2026-07-27,90.0,87.0
2026-07-28,90.0,87.0
2026-07-29,90.0,87.0
2026-07-30,95.0,87.0
2026-07-31,90.0,87.0
2026-08-03,87.5,86.0
2026-08-04,92.5,86.0
2026-08-05,88.0,85.0
2026-08-06,87.5,85.0
2026-08-07,87.5,85.0
2026-08-10,87.5,80.0
2026-08-11,87.5,83.0
2026-08-12,86.0,83.0
2026-08-13,86.0,83.0
2026-08-14,86.0,80.0
2026-08-17,87.5,80.0
2026-08-18,87.5,85.0
2026-08-19,87.5,85.0
2026-08-20,87.5,85.0
2026-08-21,87.5,84.0
2026-08-24,85.0,83.0
2026-08-25,85.0,83.0
2026-08-26,85.0,83.0
2026-08-27,85.0,83.0
2026-08-28,85.0,80.0
2026-08-31,85.0,80.0
2026-09-01,85.0,80.0
2026-09-02,85.0,80.0
2026-09-03,85.0,80.0
2026-09-04,85.0,80.0
2026-09-07,85.0,80.0
2026-09-08,85.0,80.0
2026-09-09,85.0,80.0
2026-09-10,85.0,80.0
2026-09-11,85.0,80.0
2026-09-14,85.0,80.0
2026-09-15,85.0,80.0
2026-09-16,85.0,80.0
2026-09-17,85.0,80.0
2026-09-18,85.0,80.0
2026-09-21,85.0,75.0
2026-09-22,85.0,75.0
2026-09-23,85.0,75.0
2026-09-24,80.0,75.0
