Date,CallWall,PutWall
2026-06-26,74.0,70.0
2026-06-29,76.0,70.0
2026-06-30,76.0,70.0
2026-07-01,76.0,70.0
2026-07-02,78.0,75.0
2026-07-06,77.0,75.0
2026-07-07,77.0,75.0
2026-07-08,77.0,75.0
2026-07-09,77.0,75.0
2026-07-10,76.0,73.0
2026-07-13,90.0,75.0
2026-07-14,80.0,75.0
2026-07-15,90.0,75.0
2026-07-16,80.0,70.0
2026-07-17,74.0,70.0
2026-07-20,74.0,65.0
2026-07-21,70.0,65.0
2026-07-22,70.0,65.0
2026-07-23,70.0,65.0
2026-07-24,71.0,65.0
2026-07-27,71.0,73.0
2026-07-28,75.0,65.0
2026-07-29,75.0,70.0
2026-07-30,75.0,70.0
2026-07-31,75.0,70.0
2026-08-03,75.0,70.0
2026-08-04,75.0,70.0
2026-08-05,75.0,70.0
2026-08-06,75.0,70.0
2026-08-07,74.0,72.0
2026-08-10,75.0,73.0
2026-08-11,75.0,73.0
2026-08-12,75.0,73.0
2026-08-13,78.0,73.0
2026-08-14,78.0,73.0
2026-08-17,80.0,73.0
2026-08-18,80.0,72.0
2026-08-19,80.0,72.0
2026-08-20,80.0,72.0
2026-08-21,80.0,72.0
2026-08-24,85.0,78.0
2026-08-25,85.0,78.0
2026-08-26,85.0,78.0
2026-08-27,85.0,78.0
2026-08-28,82.0,81.0
2026-08-31,85.0,78.0
2026-09-01,85.0,78.0
2026-09-02,85.0,78.0
2026-09-03,83.0,78.0
2026-09-04,79.0,78.0
2026-09-08,80.0,78.0
2026-09-09,80.0,74.0
2026-09-10,80.0,74.0
2026-09-11,77.0,74.0
2026-09-14,80.0,74.0
2026-09-15,80.0,78.0
2026-09-16,80.0,78.0
2026-09-17,80.0,74.0
2026-09-18,80.0,72.0
2026-09-21,75.0,70.0
2026-09-22,75.0,70.0
2026-09-23,73.0,70.0
2026-09-24,73.0,70.0
