Date,CallWall,PutWall
2026-06-26,50.0,40.0
2026-06-29,50.0,40.0
2026-06-30,50.0,40.0
2026-07-01,42.0,40.0
2026-07-02,44.0,40.0
2026-07-06,45.0,42.5
2026-07-07,45.0,42.5
2026-07-08,45.0,42.5
2026-07-09,45.0,42.5
2026-07-10,45.0,42.5
2026-07-13,45.0,42.5
2026-07-14,45.0,42.5
2026-07-15,45.0,42.5
2026-07-16,45.0,42.5
2026-07-17,44.0,42.5
2026-07-20,45.0,40.0
2026-07-21,45.0,40.0
2026-07-22,45.0,40.0
2026-07-23,45.0,40.0
2026-07-24,45.0,40.0
2026-07-27,45.0,40.0
2026-07-28,45.0,40.0
2026-07-29,45.0,40.0
2026-07-30,45.0,40.0
2026-07-31,45.0,40.0
2026-08-03,45.0,41.0
2026-08-04,45.0,41.0
2026-08-05,45.0,41.0
2026-08-06,45.0,41.0
2026-08-07,42.0,41.0
2026-08-10,45.0,41.0
2026-08-11,45.0,41.0
2026-08-12,45.0,41.0
2026-08-13,42.0,41.0
2026-08-14,45.0,41.0
2026-08-17,45.0,40.0
2026-08-18,45.0,40.0
2026-08-19,45.0,40.0
2026-08-20,45.0,40.0
2026-08-21,45.0,40.0
2026-08-24,45.0,40.0
2026-08-25,45.0,40.0
2026-08-26,45.0,40.0
2026-08-27,45.0,40.0
2026-08-28,39.5,40.0
2026-08-31,45.0,40.0
2026-09-01,45.0,40.0
2026-09-02,45.0,40.0
2026-09-03,45.0,40.0
2026-09-04,39.0,38.5
2026-09-07,41.0,37.5
2026-09-08,41.0,37.5
2026-09-09,41.0,37.5
2026-09-10,38.5,37.5
2026-09-11,40.0,37.5
2026-09-14,42.5,37.5
2026-09-15,42.5,35.0
2026-09-16,40.0,35.0
2026-09-17,42.5,35.0
2026-09-18,40.0,35.0
2026-09-21,40.0,35.0
2026-09-22,40.0,35.0
2026-09-23,40.0,35.0
2026-09-24,36.5,35.0
