Date,CallWall,PutWall
2026-06-26,147.0,125.0
2026-06-29,160.0,125.0
2026-06-30,160.0,135.0
2026-07-01,160.0,135.0
2026-07-02,150.0,135.0
2026-07-06,150.0,140.0
2026-07-07,150.0,135.0
2026-07-08,150.0,135.0
2026-07-09,150.0,140.0
2026-07-10,150.0,135.0
2026-07-13,150.0,133.0
2026-07-14,150.0,140.0
2026-07-15,150.0,133.0
2026-07-16,150.0,133.0
2026-07-17,150.0,130.0
2026-07-20,140.0,125.0
2026-07-21,140.0,125.0
2026-07-22,140.0,125.0
2026-07-23,140.0,130.0
2026-07-24,140.0,130.0
2026-07-27,140.0,130.0
2026-07-28,140.0,130.0
2026-07-29,140.0,125.0
2026-07-30,140.0,125.0
2026-07-31,140.0,130.0
2026-08-03,155.0,125.0
2026-08-04,140.0,125.0
2026-08-05,125.0,115.0
2026-08-06,125.0,115.0
2026-08-07,125.0,115.0
2026-08-10,140.0,115.0
2026-08-11,140.0,115.0
2026-08-12,140.0,115.0
2026-08-13,140.0,115.0
2026-08-14,140.0,120.0
2026-08-17,140.0,122.0
2026-08-18,140.0,115.0
2026-08-19,140.0,115.0
2026-08-20,140.0,115.0
2026-08-21,140.0,115.0
2026-08-24,140.0,115.0
2026-08-25,130.0,115.0
2026-08-26,130.0,115.0
2026-08-27,130.0,115.0
2026-08-28,130.0,112.0
2026-08-31,130.0,115.0
2026-09-01,130.0,105.0
2026-09-02,130.0,115.0
2026-09-03,119.0,115.0
2026-09-04,119.0,115.0
2026-09-07,150.0,105.0
2026-09-08,120.0,114.0
2026-09-09,120.0,110.0
2026-09-10,120.0,110.0
2026-09-11,125.0,114.0
2026-09-14,125.0,105.0
2026-09-15,125.0,105.0
2026-09-16,125.0,105.0
2026-09-17,125.0,105.0
2026-09-18,125.0,105.0
2026-09-21,125.0,105.0
2026-09-22,125.0,100.0
2026-09-23,110.0,100.0
2026-09-24,110.0,100.0
