Date,CallWall,PutWall
2026-06-26,240.0,220.0
2026-06-29,240.0,220.0
2026-06-30,240.0,220.0
2026-07-01,230.0,220.0
2026-07-02,230.0,220.0
2026-07-06,240.0,220.0
2026-07-07,240.0,220.0
2026-07-08,230.0,220.0
2026-07-09,230.0,220.0
2026-07-10,230.0,220.0
2026-07-13,240.0,220.0
2026-07-14,240.0,220.0
2026-07-15,240.0,220.0
2026-07-16,240.0,220.0
2026-07-17,240.0,220.0
2026-07-20,250.0,220.0
2026-07-21,240.0,220.0
2026-07-22,240.0,220.0
2026-07-23,240.0,220.0
2026-07-24,250.0,220.0
2026-07-27,250.0,220.0
2026-07-28,250.0,220.0
2026-07-29,250.0,220.0
2026-07-30,260.0,210.0
2026-07-31,260.0,220.0
2026-08-03,260.0,220.0
2026-08-04,260.0,220.0
2026-08-05,280.0,230.0
2026-08-06,280.0,220.0
2026-08-07,280.0,220.0
2026-08-10,280.0,240.0
2026-08-11,280.0,220.0
2026-08-12,260.0,230.0
2026-08-13,290.0,240.0
2026-08-14,280.0,240.0
2026-08-17,280.0,230.0
2026-08-18,280.0,230.0
2026-08-19,250.0,220.0
2026-08-20,280.0,230.0
2026-08-21,240.0,230.0
2026-08-24,270.0,230.0
2026-08-25,270.0,230.0
2026-08-26,270.0,230.0
2026-08-27,270.0,230.0
2026-08-28,270.0,230.0
2026-08-31,270.0,230.0
2026-09-01,270.0,230.0
2026-09-02,270.0,230.0
2026-09-03,270.0,230.0
2026-09-04,270.0,230.0
2026-09-07,270.0,240.0
2026-09-08,270.0,230.0
2026-09-09,270.0,230.0
2026-09-10,270.0,230.0
2026-09-11,270.0,230.0
2026-09-14,270.0,230.0
2026-09-15,260.0,230.0
2026-09-16,260.0,230.0
2026-09-17,270.0,230.0
2026-09-18,270.0,260.0
2026-09-21,250.0,220.0
2026-09-22,250.0,220.0
2026-09-23,250.0,230.0
2026-09-24,250.0,230.0
