Date,CallWall,PutWall
2026-06-26,200.0,195.0
2026-06-29,200.0,190.0
2026-06-30,200.0,185.0
2026-07-01,200.0,190.0
2026-07-02,200.0,192.5
2026-07-06,200.0,190.0
2026-07-07,200.0,190.0
2026-07-08,205.0,190.0
2026-07-09,205.0,190.0
2026-07-10,210.0,190.0
2026-07-13,210.0,190.0
2026-07-14,215.0,190.0
2026-07-15,210.0,190.0
2026-07-16,210.0,195.0
2026-07-17,210.0,205.0
2026-07-20,210.0,190.0
2026-07-21,210.0,200.0
2026-07-22,215.0,200.0
2026-07-23,210.0,200.0
2026-07-24,207.5,205.0
2026-07-27,220.0,195.0
2026-07-28,215.0,190.0
2026-07-29,197.5,190.0
2026-07-30,200.0,190.0
2026-07-31,200.0,180.0
2026-08-03,207.5,190.0
2026-08-04,210.0,190.0
2026-08-05,220.0,190.0
2026-08-06,220.0,190.0
2026-08-07,222.5,190.0
2026-08-10,225.0,217.5
2026-08-11,225.0,212.5
2026-08-12,225.0,212.5
2026-08-13,225.0,212.5
2026-08-14,225.0,190.0
2026-08-17,230.0,190.0
2026-08-18,230.0,190.0
2026-08-19,220.0,217.5
2026-08-20,220.0,215.0
2026-08-21,220.0,215.0
2026-08-24,230.0,210.0
2026-08-25,230.0,190.0
2026-08-26,230.0,190.0
2026-08-27,230.0,190.0
2026-08-28,225.0,217.5
2026-08-31,220.0,207.5
2026-09-01,225.0,217.5
2026-09-02,225.0,212.5
2026-09-03,230.0,217.5
2026-09-04,230.0,217.5
2026-09-08,230.0,222.5
2026-09-09,230.0,222.5
2026-09-10,230.0,220.0
2026-09-11,220.0,200.0
2026-09-14,220.0,212.5
2026-09-15,220.0,200.0
2026-09-16,215.0,200.0
2026-09-17,220.0,200.0
2026-09-18,220.0,200.0
2026-09-21,230.0,200.0
2026-09-22,230.0,200.0
2026-09-23,230.0,200.0
2026-09-24,230.0,200.0
