Date,CallWall,PutWall
2026-06-26,30.0,22.5
2026-06-29,25.0,22.5
2026-06-30,25.0,22.5
2026-07-01,30.0,22.5
2026-07-02,30.0,22.5
2026-07-06,30.0,22.5
2026-07-07,30.0,22.5
2026-07-08,30.0,22.5
2026-07-09,30.0,22.5
2026-07-10,30.0,22.5
2026-07-13,30.0,22.5
2026-07-14,30.0,22.5
2026-07-15,30.0,22.5
2026-07-16,30.0,22.5
2026-07-17,30.0,22.5
2026-07-20,30.0,25.0
2026-07-21,25.0,20.0
2026-07-22,30.0,20.0
2026-07-23,25.0,17.5
2026-07-24,30.0,35.0
2026-07-27,30.0,20.0
2026-07-28,30.0,35.0
2026-07-29,30.0,35.0
2026-07-30,30.0,35.0
2026-07-31,30.0,25.0
2026-08-03,30.0,20.0
2026-08-04,30.0,35.0
2026-08-05,30.0,25.0
2026-08-06,30.0,22.5
2026-08-07,30.0,22.5
2026-08-10,30.0,22.5
2026-08-11,30.0,22.5
2026-08-12,30.0,22.5
2026-08-13,30.0,22.5
2026-08-14,30.0,22.5
2026-08-17,30.0,22.5
2026-08-18,30.0,22.5
2026-08-19,30.0,22.5
2026-08-20,30.0,22.5
2026-08-21,30.0,22.5
2026-08-24,30.0,40.0
2026-08-25,30.0,40.0
2026-08-26,30.0,40.0
2026-08-27,30.0,40.0
2026-08-28,30.0,22.5
2026-08-31,30.0,40.0
2026-09-01,30.0,40.0
2026-09-02,30.0,20.0
2026-09-03,30.0,40.0
2026-09-04,30.0,20.0
2026-09-08,30.0,20.0
2026-09-09,30.0,40.0
2026-09-10,30.0,20.0
2026-09-11,30.0,22.5
2026-09-14,30.0,22.5
2026-09-15,30.0,22.5
2026-09-16,30.0,22.5
2026-09-17,30.0,22.5
2026-09-18,30.0,22.5
2026-09-21,25.0,22.5
2026-09-22,25.0,22.5
2026-09-23,25.0,22.5
2026-09-24,25.0,22.5
