Date,CallWall,PutWall
2026-06-26,75.0,70.0
2026-06-29,75.0,70.0
2026-06-30,75.0,70.0
2026-07-01,75.0,70.0
2026-07-02,75.0,70.0
2026-07-06,75.0,70.0
2026-07-07,75.0,70.0
2026-07-08,75.0,70.0
2026-07-09,75.0,70.0
2026-07-10,75.0,70.0
2026-07-13,75.0,77.5
2026-07-14,75.0,70.0
2026-07-15,75.0,77.5
2026-07-16,75.0,77.5
2026-07-17,80.0,75.0
2026-07-20,77.5,67.5
2026-07-21,77.5,67.5
2026-07-22,77.5,75.0
2026-07-23,77.5,75.0
2026-07-24,77.5,75.0
2026-07-27,77.5,75.0
2026-07-28,77.5,75.0
2026-07-29,77.5,75.0
2026-07-30,77.5,75.0
2026-07-31,77.5,75.0
2026-08-03,77.5,75.0
2026-08-04,77.5,75.0
2026-08-05,77.5,75.0
2026-08-06,67.5,75.0
2026-08-07,67.5,75.0
2026-08-10,67.5,75.0
2026-08-11,67.5,60.0
2026-08-12,67.5,60.0
2026-08-13,67.5,75.0
2026-08-14,67.5,75.0
2026-08-17,67.5,60.0
2026-08-18,67.5,60.0
2026-08-19,67.5,75.0
2026-08-20,67.5,60.0
2026-08-21,67.5,65.0
2026-08-24,67.5,65.0
2026-08-25,67.5,55.0
2026-08-26,67.5,55.0
2026-08-27,67.5,55.0
2026-08-28,67.5,55.0
2026-08-31,67.5,55.0
2026-09-01,67.5,55.0
2026-09-02,67.5,55.0
2026-09-03,67.5,55.0
2026-09-04,67.5,55.0
2026-09-08,67.5,55.0
2026-09-09,67.5,55.0
2026-09-10,67.5,55.0
2026-09-11,67.5,65.0
2026-09-14,72.5,65.0
2026-09-15,72.5,65.0
2026-09-16,72.5,65.0
2026-09-17,72.5,65.0
2026-09-18,72.5,65.0
2026-09-21,72.5,65.0
2026-09-22,72.5,65.0
2026-09-23,72.5,65.0
2026-09-24,72.5,65.0
