Date,CallWall,PutWall
2026-06-26,82.5,67.5
2026-06-29,82.5,70.0
2026-06-30,82.5,67.5
2026-07-01,82.5,67.5
2026-07-02,82.5,70.0
2026-07-06,82.5,70.0
2026-07-07,82.5,67.5
2026-07-08,82.5,70.0
2026-07-09,82.5,70.0
2026-07-10,82.5,70.0
2026-07-13,82.5,70.0
2026-07-14,82.5,70.0
2026-07-15,82.5,70.0
2026-07-16,85.0,70.0
2026-07-17,85.0,70.0
2026-07-20,85.0,70.0
2026-07-21,85.0,70.0
2026-07-22,85.0,70.0
2026-07-23,85.0,70.0
2026-07-24,85.0,70.0
2026-07-27,85.0,70.0
2026-07-28,85.0,70.0
2026-07-29,85.0,70.0
2026-07-30,85.0,70.0
2026-07-31,85.0,70.0
2026-08-03,85.0,70.0
2026-08-04,85.0,70.0
2026-08-05,85.0,70.0
2026-08-06,85.0,70.0
2026-08-07,85.0,70.0
2026-08-10,85.0,70.0
2026-08-11,85.0,70.0
2026-08-12,85.0,70.0
2026-08-13,90.0,70.0
2026-08-14,90.0,75.0
2026-08-17,85.0,75.0
2026-08-18,90.0,75.0
2026-08-19,90.0,75.0
2026-08-20,87.5,75.0
2026-08-21,87.5,75.0
2026-08-24,90.0,75.0
2026-08-25,90.0,75.0
2026-08-26,90.0,75.0
2026-08-27,90.0,75.0
2026-08-28,90.0,75.0
2026-08-31,90.0,75.0
2026-09-01,90.0,75.0
2026-09-02,90.0,75.0
2026-09-03,90.0,75.0
2026-09-04,90.0,75.0
2026-09-08,90.0,75.0
2026-09-09,90.0,75.0
2026-09-10,90.0,75.0
2026-09-11,90.0,75.0
2026-09-14,90.0,77.5
2026-09-15,90.0,77.5
2026-09-16,90.0,75.0
2026-09-17,90.0,77.5
2026-09-18,87.5,75.0
2026-09-21,87.5,77.5
2026-09-22,87.5,77.5
2026-09-23,87.5,77.5
2026-09-24,87.5,77.5
