Date,CallWall,PutWall
2026-06-26,170.0,150.0
2026-06-29,170.0,145.0
2026-06-30,152.5,145.0
2026-07-01,150.0,145.0
2026-07-02,160.0,140.0
2026-07-06,150.0,135.0
2026-07-07,150.0,135.0
2026-07-08,150.0,135.0
2026-07-09,145.0,135.0
2026-07-10,150.0,140.0
2026-07-13,150.0,135.0
2026-07-14,147.0,130.0
2026-07-15,147.0,130.0
2026-07-16,147.0,125.0
2026-07-17,140.0,125.0
2026-07-20,140.0,120.0
2026-07-21,140.0,120.0
2026-07-22,140.0,120.0
2026-07-23,140.0,120.0
2026-07-24,140.0,117.0
2026-07-27,140.0,120.0
2026-07-28,140.0,120.0
2026-07-29,140.0,115.0
2026-07-30,130.0,120.0
2026-07-31,130.0,115.0
2026-08-03,140.0,115.0
2026-08-04,150.0,115.0
2026-08-05,150.0,115.0
2026-08-06,150.0,115.0
2026-08-07,145.0,144.0
2026-08-10,150.0,125.0
2026-08-11,150.0,137.0
2026-08-12,150.0,142.0
2026-08-13,155.0,137.0
2026-08-14,150.0,120.0
2026-08-17,160.0,120.0
2026-08-18,160.0,120.0
2026-08-19,160.0,120.0
2026-08-20,150.0,135.0
2026-08-21,160.0,145.0
2026-08-24,160.0,140.0
2026-08-25,150.0,140.0
2026-08-26,150.0,140.0
2026-08-27,150.0,140.0
2026-08-28,150.0,140.0
2026-08-31,160.0,140.0
2026-09-01,160.0,140.0
2026-09-02,155.0,140.0
2026-09-03,160.0,140.0
2026-09-04,157.5,140.0
2026-09-08,200.0,140.0
2026-09-09,200.0,140.0
2026-09-10,175.0,140.0
2026-09-11,160.0,150.0
2026-09-14,160.0,140.0
2026-09-15,160.0,140.0
2026-09-16,155.0,140.0
2026-09-17,155.0,140.0
2026-09-18,160.0,145.0
2026-09-21,160.0,145.0
2026-09-22,155.0,145.0
2026-09-23,150.0,145.0
2026-09-24,150.0,140.0
