Date,CallWall,PutWall
2026-06-26,52.0,50.0
2026-06-29,52.0,50.0
2026-06-30,52.0,50.0
2026-07-01,51.0,47.5
2026-07-02,48.5,47.5
2026-07-06,51.0,49.0
2026-07-07,51.0,47.5
2026-07-08,51.0,52.5
2026-07-09,55.0,53.0
2026-07-10,55.0,52.0
2026-07-13,55.0,50.0
2026-07-14,55.0,50.0
2026-07-15,55.0,50.0
2026-07-16,55.0,53.0
2026-07-17,55.0,50.0
2026-07-20,55.0,52.5
2026-07-21,55.0,52.5
2026-07-22,56.0,52.5
2026-07-23,60.0,52.5
2026-07-24,60.0,54.0
2026-07-27,60.0,52.5
2026-07-28,55.0,52.0
2026-07-29,57.0,54.0
2026-07-30,56.0,53.0
2026-07-31,57.0,50.0
2026-08-03,60.0,53.0
2026-08-04,60.0,53.0
2026-08-05,60.0,53.0
2026-08-06,57.0,50.0
2026-08-07,56.0,54.0
2026-08-10,60.0,54.0
2026-08-11,60.0,56.0
2026-08-12,59.0,56.0
2026-08-13,57.0,56.0
2026-08-14,59.0,52.5
2026-08-17,60.0,52.5
2026-08-18,60.0,52.5
2026-08-19,60.0,57.5
2026-08-20,60.0,42.5
2026-08-21,61.0,52.5
2026-08-24,60.0,57.0
2026-08-25,60.0,58.0
2026-08-26,60.0,58.0
2026-08-27,60.0,57.0
2026-08-28,60.0,57.0
2026-08-31,60.0,50.0
2026-09-01,60.0,52.5
2026-09-02,60.0,52.5
2026-09-03,60.0,59.0
2026-09-04,60.0,58.0
2026-09-07,60.0,58.0
2026-09-08,61.0,58.0
2026-09-09,62.0,57.5
2026-09-10,62.0,55.0
2026-09-11,62.0,57.5
2026-09-14,62.5,55.0
2026-09-15,65.0,55.0
2026-09-16,65.0,59.0
2026-09-17,60.0,59.0
2026-09-18,60.0,59.0
2026-09-21,65.0,57.0
2026-09-22,59.0,57.0
2026-09-23,59.0,57.0
2026-09-24,59.0,57.0
